epsilon,psi_radians,gap,quadratic,ratio_to_quadratic
0.03,0.0,0.0005196152422708433,0.0005196152422706632,1.0000000000003466
0.03,0.008726646259971648,0.0005196154561617804,0.0005196152422706632,1.000000411633647
0.03,0.017453292519943295,0.0005196160972482778,0.0005196152422706632,1.0000016454051863
0.03,0.026179938779914945,0.000519617163770749,0.0005196152422706632,1.0000036979286393
0.03,0.03490658503988659,0.0005196186528046001,0.0005196152422706632,1.0000065635756217
0.03,0.04363323129985824,0.0005196205602636366,0.0005196152422706632,1.000010234482249
0.03,0.05235987755982989,0.0005196228809160725,0.0005196152422706632,1.0000147005799442
0.03,0.061086523819801536,0.0005196256083947739,0.0005196152422706632,1.0000199496151525
0.03,0.06981317007977318,0.0005196287352179256,0.0005196152422706632,1.0000259671891136
0.03,0.07853981633974483,0.0005196322528082748,0.0005196152422706632,1.000032736794897
0.03,0.08726646259971647,0.0005196361515161217,0.0005196152422706632,1.0000402398616466
0.03,0.09599310885968812,0.0005196404206473953,0.0005196152422706632,1.0000484558086133
0.03,0.10471975511965978,0.0005196450484912923,0.0005196152422706632,1.0000573620983457
0.03,0.11344640137963143,0.0005196500223540979,0.0005196152422706632,1.0000669343017783
0.03,0.12217304763960307,0.0005196553285927785,0.0005196152422706632,1.0000771461628801
0.03,0.1308996938995747,0.0005196609526534921,0.0005196152422706632,1.00008796967277
0.03,0.13962634015954636,0.0005196668791109543,0.0005196152422706632,1.0000993751454739
0.03,0.14835298641951802,0.0005196730917113785,0.0005196152422706632,1.0001113313005647
0.03,0.15707963267948966,0.0005196795734162474,0.0005196152422706632,1.000123805347401
0.03,0.16580627893946132,0.0005196863064498613,0.0005196152422706632,1.0001367630766325
0.03,0.17453292519943295,0.0005196932723484913,0.0005196152422706632,1.0001501689547965
0.03,0.1832595714594046,0.000519700452009358,0.0005196152422706632,1.0001639862185767
0.03,0.19198621771937624,0.0005197078257460086,0.0005196152422706632,1.0001781769813771
0.03,0.2007128639793479,0.0005197153733386357,0.0005196152422706632,1.0001927023301607
0.03,0.20943951023931956,0.0005197230740941462,0.0005196152422706632,1.0002075224410503
0.03,0.2181661564992912,0.000519730906897427,0.0005196152422706632,1.0002225966779925
0.03,0.22689280275926285,0.0005197388502745835,0.0005196152422706632,1.0002378837144579
0.03,0.23561944901923448,0.0005197468824488177,0.0005196152422706632,1.0002533416409787
0.03,0.24434609527920614,0.0005197549814008422,0.0005196152422706632,1.0002689280814172
0.03,0.2530727415391778,0.0005197631249293851,0.0005196152422706632,1.0002846003094052
0.03,0.2617993877991494,0.0005197712907117767,0.0005196152422706632,1.000300315364945
0.03,0.27052603405912107,0.000519779456366091,0.0005196152422706632,1.000316030174
0.03,0.2792526803190927,0.0005197875995110377,0.0005196152422706632,1.0003317016637565
0.03,0.2879793265790644,0.0005197956978285667,0.0005196152422706632,1.0003472868831078
0.03,0.29670597283903605,0.000519803729124556,0.0005196152422706632,1.0003627431194455
0.03,0.30543261909900765,0.0005198116713887891,0.0005196152422706632,1.0003780280140888
0.03,0.3141592653589793,0.000519819502857524,0.0005196152422706632,1.0003930996826962
0.03,0.32288591161895097,0.0005198272020695242,0.0005196152422706632,1.0004079168230993
0.03,0.33161255787892263,0.0005198347479294717,0.0005196152422706632,1.000422438837339
0.03,0.34033920413889424,0.0005198421197611072,0.0005196152422706632,1.0004366259339363
0.03,0.3490658503988659,0.0005198492973660763,0.0005196152422706632,1.0004504392411397
0.03,0.35779249665883756,0.0005198562610808647,0.0005196152422706632,1.0004638409164985
0.03,0.3665191429188092,0.0005198629918259437,0.0005196152422706632,1.0004767942414425
0.03,0.3752457891787809,0.000519869471163427,0.0005196152422706632,1.0004892637322431
0.03,0.3839724354387525,0.0005198756813426325,0.0005196152422706632,1.0005012152276966
0.03,0.39269908169872414,0.0005198816053522074,0.0005196152422706632,1.000512615989439
0.03,0.4014257279586958,0.0005198872269651649,0.0005196152422706632,1.00052343478862
0.03,0.41015237421866746,0.0005198925307830188,0.0005196152422706632,1.0005336419908388
0.03,0.4188790204786391,0.0005198975022781095,0.0005196152422706632,1.000543209637602
0.03,0.4276056667386107,0.0005199021278336264,0.0005196152422706632,1.0005521115233447
0.03,0.4363323129985824,0.0005199063947804353,0.0005196152422706632,1.0005603232663072
0.03,0.44505895925855404,0.0005199102914329545,0.0005196152422706632,1.000567822377577
0.03,0.4537856055185257,0.0005199138071182659,0.0005196152422706632,1.000574588317113
0.03,0.4625122517784973,0.0005199169322082781,0.0005196152422706632,1.0005806025556456
0.03,0.47123889803846897,0.0005199196581443765,0.0005196152422706632,1.0005858486221133
0.03,0.4799655442984406,0.0005199219774614143,0.0005196152422706632,1.0005903121498336
0.03,0.4886921905584123,0.0005199238838079546,0.0005196152422706632,1.000593980915461
0.03,0.49741883681838395,0.0005199253719632141,0.0005196152422706632,1.0005968448715932
0.03,0.5061454830783556,0.0005199264378514519,0.0005196152422706632,1.0005988961744632
0.03,0.5148721293383273,0.0005199270785545418,0.0005196152422706632,1.0006001292081346
0.03,0.5235987755982988,0.0005199272923172235,0.0005196152422706632,1.0006005405946072
0.03,0.5323254218582705,0.0005199270785543427,0.0005196152422706632,1.0006001292077515
0.03,0.5410520681182421,0.0005199264378517115,0.0005196152422706632,1.0005988961749628
0.03,0.5497787143782138,0.0005199253719631316,0.0005196152422706632,1.0005968448714344
0.03,0.5585053606381855,0.0005199238838079145,0.0005196152422706632,1.0005939809153837
0.03,0.5672320068981571,0.0005199219774615817,0.0005196152422706632,1.0005903121501558
0.03,0.5759586531581288,0.0005199196581444972,0.0005196152422706632,1.0005858486223456
0.03,0.5846852994181004,0.0005199169322083407,0.0005196152422706632,1.0005806025557664
0.03,0.5934119456780721,0.0005199138071182381,0.0005196152422706632,1.0005745883170598
0.03,0.6021385919380436,0.0005199102914327355,0.0005196152422706632,1.0005678223771555
0.03,0.6108652381980153,0.000519906394780498,0.0005196152422706632,1.0005603232664277
0.03,0.619591884457987,0.0005199021278334923,0.0005196152422706632,1.0005521115230867
0.03,0.6283185307179586,0.0005198975022778969,0.0005196152422706632,1.0005432096371927
0.03,0.6370451769779303,0.0005198925307827439,0.0005196152422706632,1.00053364199031
0.03,0.6457718232379019,0.000519887226965104,0.0005196152422706632,1.0005234347885026
0.03,0.6544984694978736,0.0005198816053521443,0.0005196152422706632,1.0005126159893176
0.03,0.6632251157578453,0.0005198756813425739,0.0005196152422706632,1.0005012152275836
0.03,0.6719517620178169,0.000519869471162966,0.0005196152422706632,1.000489263731356
0.03,0.6806784082777885,0.000519862991826111,0.0005196152422706632,1.0004767942417645
0.03,0.6894050545377601,0.0005198562610804951,0.0005196152422706632,1.0004638409157873
0.03,0.6981317007977318,0.0005198492973660588,0.0005196152422706632,1.0004504392411062
0.03,0.7068583470577035,0.0005198421197607836,0.0005196152422706632,1.0004366259333135
0.03,0.7155849933176751,0.0005198347479292094,0.0005196152422706632,1.0004224388368341
0.03,0.7243116395776468,0.0005198272020694614,0.0005196152422706632,1.0004079168229782
0.03,0.7330382858376184,0.0005198195028572194,0.0005196152422706632,1.0003930996821102
0.03,0.7417649320975901,0.0005198116713887999,0.0005196152422706632,1.0003780280141097
0.03,0.7504915783575618,0.0005198037291241363,0.0005196152422706632,1.000362743118638
0.03,0.7592182246175333,0.0005197956978284967,0.0005196152422706632,1.000347286882973
0.03,0.767944870877505,0.0005197875995107923,0.0005196152422706632,1.0003317016632844
0.03,0.7766715171374766,0.0005197794563657564,0.0005196152422706632,1.000316030173356
0.03,0.7853981633974483,0.0005197712907115878,0.0005196152422706632,1.0003003153645813
0.03,0.7941248096574199,0.0005197631249290916,0.0005196152422706632,1.0002846003088404
0.03,0.8028514559173916,0.0005197549814004825,0.0005196152422706632,1.0002689280807249
0.03,0.8115781021773633,0.0005197468824484864,0.0005196152422706632,1.0002533416403412
0.03,0.8203047484373349,0.0005197388502743614,0.0005196152422706632,1.0002378837140304
0.03,0.8290313946973066,0.0005197309068970136,0.0005196152422706632,1.000222596677197
0.03,0.8377580409572782,0.0005197230740936149,0.0005196152422706632,1.0002075224400278
0.03,0.8464846872172498,0.0005197153733384716,0.0005196152422706632,1.0001927023298447
0.03,0.8552113334772214,0.0005197078257455352,0.0005196152422706632,1.000178176980466
0.03,0.8639379797371931,0.0005197004520092232,0.0005196152422706632,1.0001639862183174
0.03,0.8726646259971648,0.0005196932723480715,0.0005196152422706632,1.0001501689539884
0.03,0.8813912722571364,0.0005196863064497388,0.0005196152422706632,1.0001367630763969
0.03,0.8901179185171081,0.0005196795734158915,0.0005196152422706632,1.000123805346716
0.03,0.8988445647770797,0.0005196730917110574,0.0005196152422706632,1.0001113312999468
0.03,0.9075712110370514,0.0005196668791106754,0.0005196152422706632,1.0000993751449372
0.03,0.9162978572970231,0.0005196609526530881,0.0005196152422706632,1.0000879696719924
0.03,0.9250245035569946,0.000519655328592468,0.0005196152422706632,1.0000771461622826
0.03,0.9337511498169663,0.000519650022353588,0.0005196152422706632,1.0000669343007969
0.03,0.9424777960769379,0.0005196450484911642,0.0005196152422706632,1.0000573620980993
0.03,0.9512044423369096,0.0005196404206469114,0.0005196152422706632,1.000048455807682
0.03,0.9599310885968813,0.0005196361515158319,0.0005196152422706632,1.0000402398610888
0.03,0.9686577348568529,0.0005196322528078786,0.0005196152422706632,1.0000327367941344
0.03,0.9773843811168246,0.0005196287352175226,0.0005196152422706632,1.000025967188338
0.03,0.9861110273767962,0.0005196256083943427,0.0005196152422706632,1.0000199496143227
0.03,0.9948376736367679,0.0005196228809154688,0.0005196152422706632,1.0000147005787825
0.03,1.0035643198967394,0.0005196205602635378,0.0005196152422706632,1.0000102344820587
0.03,1.0122909661567112,0.0005196186528041933,0.0005196152422706632,1.000006563574839
0.03,1.0210176124166828,0.0005196171637707268,0.0005196152422706632,1.0000036979285964
0.03,1.0297442586766545,0.0005196160972478534,0.0005196152422706632,1.0000016454043696
0.03,1.038470904936626,0.0005196154561615915,0.0005196152422706632,1.0000004116332835
0.03,1.0471975511965976,0.0005196152422703305,0.0005196152422706632,0.9999999999993596
0.03,1.0559241974565694,0.0005196154561613969,0.0005196152422706632,1.0000004116329089
0.03,1.064650843716541,0.00051961609724787,0.0005196152422706632,1.0000016454044016
0.03,1.0733774899765127,0.0005196171637708509,0.0005196152422706632,1.0000036979288354
0.03,1.0821041362364843,0.0005196186528040451,0.0005196152422706632,1.0000065635745536
0.03,1.090830782496456,0.0005196205602633636,0.0005196152422706632,1.0000102344817237
0.03,1.0995574287564276,0.0005196228809152101,0.0005196152422706632,1.0000147005782847
0.03,1.1082840750163994,0.000519625608394232,0.0005196152422706632,1.0000199496141096
0.03,1.117010721276371,0.0005196287352175283,0.0005196152422706632,1.0000259671883491
0.03,1.1257373675363425,0.0005196322528076893,0.0005196152422706632,1.0000327367937702
0.03,1.1344640137963142,0.0005196361515158455,0.0005196152422706632,1.0000402398611152
0.03,1.1431906600562858,0.0005196404206469035,0.0005196152422706632,1.000048455807667
0.03,1.1519173063162575,0.0005196450484910074,0.0005196152422706632,1.0000573620977975
0.03,1.160643952576229,0.0005196500223538332,0.0005196152422706632,1.0000669343012687
0.03,1.1693705988362009,0.0005196553285925107,0.0005196152422706632,1.0000771461623648
0.03,1.1780972450961724,0.0005196609526529722,0.0005196152422706632,1.0000879696717693
0.03,1.1868238913561442,0.0005196668791106446,0.0005196152422706632,1.000099375144878
0.03,1.1955505376161157,0.0005196730917110795,0.0005196152422706632,1.0001113312999894
0.03,1.2042771838760873,0.0005196795734157432,0.0005196152422706632,1.0001238053464305
0.03,1.213003830136059,0.000519686306449436,0.0005196152422706632,1.000136763075814
0.03,1.2217304763960306,0.0005196932723482953,0.0005196152422706632,1.0001501689544192
0.03,1.2304571226560024,0.0005197004520092306,0.0005196152422706632,1.0001639862183316
0.03,1.239183768915974,0.000519707825745625,0.0005196152422706632,1.0001781769806388
0.03,1.2479104151759457,0.0005197153733387023,0.0005196152422706632,1.0001927023302888
0.03,1.2566370614359172,0.0005197230740937945,0.0005196152422706632,1.0002075224403735
