eps,parameter,N,rms
0.0,4,64,0.11629661845647948
0.0,6,144,0.13960533567573896
0.0,8,256,0.1297468220209678
0.0,10,400,0.1384940297544034
0.0,12,576,0.1345205697366011
0.05,4,64,0.11298681399804805
0.05,6,144,0.14270298167864184
0.05,8,256,0.1302807523472379
0.05,10,400,0.14748978683340436
0.05,12,576,0.13524710106956694
0.2,4,64,0.1450201350116148
0.2,6,144,0.19911975943896257
0.2,8,256,0.17802784839583724
0.2,10,400,0.21828495994968278
0.2,12,576,0.1811843290073764
