beta,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.1,6,1,6001,144,385,0.35061672178886,49.78213648674211,49.78213410585481,-0.015396470611997316,498.05615329041086,4.305621859773306,0.9620860133664136,-0.4010502231307459,-0.3222073136180165
0.1,8,1,6001,256,705,0.3514227979588176,88.68418055755961,88.68368554291172,-0.29631012771334797,886.8279100890195,5.75253801545324,0.9622223444158976,-0.38281963160970806,-0.310601177155131
0.1,10,1,6001,400,1121,0.351642774143154,138.58970302435316,138.5897020312791,-0.016590951595223682,1385.5488333946423,7.1930111444344265,0.9616700358816967,-0.38427221072402395,-0.3085486345078143
0.1,12,1,6001,576,1633,0.35193359063516283,199.48759172218558,199.4875802249485,-0.06772822267355472,1995.6956425800797,8.639369589335843,0.9582346203306275,-0.4013409765540788,-0.32146245809142543
0.4,4,1,6001,64,161,1.3878391119526678,88.72182610795983,88.72166239685035,0.17043905178195473,221.74061721447944,11.13295051710967,0.9976422107601766,-0.20769341354933762,-0.16552425476440613
0.4,6,1,6001,144,385,1.3832611755454978,199.00083544856275,199.0008180184359,0.08328997122007992,498.05615329041086,16.648343619913206,0.9980048535429357,-0.23619688764135707,-0.1780685144420692
0.4,8,1,6001,256,705,1.3881238894382175,355.0319593487904,355.0313004245154,-0.6840160222286212,886.8279100890195,22.27511792749641,0.9980527157211423,-0.22742920632037986,-0.17027388706421828
0.4,10,1,6001,400,1121,1.3868393079142185,554.2493678411083,554.2493587056822,0.10063105008950401,1385.5488333946423,27.818792828965375,0.9981687016840605,-0.22440789648749346,-0.1708820923791904
0.4,12,1,6001,576,1633,1.3874903305548405,798.4723298345674,798.472289469428,-0.2538914966846959,1995.6956425800797,33.398334705104936,0.998062459135865,-0.24990359392189188,-0.1908345531638863
0.0,4,2,6002,64,161,0.08898681116177765,0.0980663074687932,-0.08425740213582866,-0.05017659659527679,221.44544044412328,0.7918437560080025,-0.42625899986463944,-0.4264057799626744,-0.35680549435680625
0.0,6,2,6002,144,385,0.0822981486076435,0.14024877419253445,0.1401850079353899,-0.004228736532722752,498.5050158365556,1.1311303788355647,-0.4304909004291272,-0.43059702828494284,-0.3536893415217195
0.0,8,2,6002,256,705,0.08644185469439478,0.1907328352972813,-0.18078700498959765,0.06078711448515245,886.7419752995903,1.5847081426685115,-0.4236891289394428,-0.42368612832731567,-0.3420234249793748
0.0,10,2,6002,400,1121,0.0894612914107558,0.04538532299737301,-0.0445848615347364,0.0084863222602172,1386.0446466150981,2.039617865103951,-0.43430924438621826,-0.4343112985254012,-0.3511234241579589
0.0,12,2,6002,576,1633,0.09024054434034018,0.10522465767739117,0.006409490969835119,0.10502926739167402,1994.2916313539645,2.4666130522476024,-0.4333978460442059,-0.43343050345446577,-0.3475801006395296
0.1,4,2,6002,64,161,0.3504577112958055,22.09478561270983,22.094770569241803,-0.02578302107229434,221.44544044412328,2.8799956269388356,0.9600192118705939,-0.41940163705882727,-0.3468458370450357
0.1,6,2,6002,144,385,0.35153239855582513,49.87667268660649,49.876660607923874,0.034711508942029554,498.5050158365556,4.313452012435686,0.9600326420388293,-0.40520922229660966,-0.3370043867294723
0.1,8,2,6002,256,705,0.3516677001449995,88.52876497819256,88.52872108644031,0.08815533625162877,886.7419752995903,5.7634792526140135,0.9567201310247576,-0.40684836522596135,-0.33189572656211047
0.1,10,2,6002,400,1121,0.35284883908947395,138.4856683245357,138.48564169437282,-0.08588242602392104,1386.0446466150981,7.225093876699441,0.9498239290447691,-0.41566718444835005,-0.3381142546197119
