shell,reference_separation_in_spacings,correlation,ci_low,ci_high,pairs_per_realization
1,1.0,-0.33240371635613697,-0.33379762160960896,-0.3309266390913403,1121
3,1.7320508075688772,0.32920664974422553,0.32475434671507697,0.33372402254737776,1045
4,2.0,-0.16237051798079888,-0.16516447963407105,-0.15957457175339912,1044
7,2.6457513110645907,-0.0008700674866218042,-0.00432868927293462,0.0026435171894004413,1942
9,3.0,-0.0009098656140825353,-0.006398291979579238,0.004427445489073047,969
12,3.4641016151377544,-0.0013207299413268475,-0.006512160895704071,0.003784859943344053,900
13,3.605551275463989,0.002513444445388123,-0.0014473623208143555,0.006391784277956885,1798
16,4.0,-0.0024614716884734313,-0.007729407459417459,0.002830483340474803,896
