realization,shape,parameter,cells,area,perimeter,boundary_edges,W_real,W_imag,boundary_W_real,boundary_W_imag,identity_error,normalized_gap,deterministic_bound
0,rhombus,2,4,13.72251712309912,16.241042808039207,14,0.04079241570313741,-0.17990741976831456,0.04079241570313807,-0.17990741976831545,1.106073618220497e-15,0.006721584608701684,0.012907385075589774
0,rhombus,4,16,55.30052950844728,34.923694819858575,30,-0.00784221281299402,0.09977995789977151,-0.007842212812992123,0.09977995789977062,2.0953420328873554e-15,0.0009049430807173197,0.007403257097724589
0,rhombus,7,49,169.99408294916657,62.28874331950858,54,0.06528120983242536,-0.12702269523486603,0.06528120983242339,-0.1270226952348642,2.6905734472343886e-15,0.0004200615931289252,0.004803414818828545
0,rhombus,10,100,346.1024532775544,90.23141457064924,78,-0.05519419775033674,-0.011331037374879005,-0.05519419775034533,-0.011331037374865871,1.5693481078658253e-14,8.139972854598485e-05,0.0035047602332194125
0,rhombus,15,225,779.5384471616688,136.5494857585853,118,-0.029295597404802365,0.029487562980443208,-0.029295597404841313,0.02948756298046691,4.559377378304483e-14,2.6660771588024805e-05,0.002131224450014109
0,rhombus,20,400,1385.8210883995985,182.65973419475608,158,-0.05315579181516661,-0.04912308896247171,-0.05315579181515409,-0.04912308896241994,5.326293197892269e-14,2.6113863161773918e-05,0.0019474415797565742
0,radial,2.8284271247461903,7,24.1444180225786,20.546794641623116,18,-0.09177243581748984,-0.09140323125820071,-0.09177243581748873,-0.09140323125819838,2.5823128856601336e-15,0.002682297401339169,0.011545641277416713
0,radial,4.69041575982343,19,65.86666709401395,34.384389555923505,30,0.02646414275121156,0.11372206866712192,0.02646414275120869,0.11372206866712363,3.3415799603732836e-15,0.0008863412977863276,0.005918308553857028
0,radial,7.615773105863909,55,190.1220670924196,62.14556178463528,54,-0.1654327851150068,-0.14891127138530127,-0.16543278511501477,-0.1489112713852998,8.100539754930309e-15,0.0005853650064484289,0.003600402406925247
0,radial,10.488088481701515,97,335.34363539520245,89.91017921637192,78,0.09882686348259684,-0.10854085973026939,0.09882686348257644,-0.108540859730259,2.289583071556383e-14,0.00021886790512904588,0.0030694292717871664
0,radial,15.748015748023622,223,772.6281435012452,131.7145927237151,114,-0.32213147703635325,0.4956717719932545,-0.32213147703637784,0.495671771993269,2.854212604268024e-14,0.00038255837697310987,0.00233867331697446
0,radial,20.97617696340303,397,1374.8178499926082,173.68706311873586,150,-0.0837702268192908,0.38826054453088843,-0.08377022681928908,0.38826054453090536,1.701812923928732e-14,0.00014445360531774892,0.0016653861910309387
1,rhombus,2,4,13.706636776715788,16.132462886097393,14,0.02207341341255642,0.05736083902606995,0.02207341341255603,0.0573608390260705,6.719271740397004e-16,0.002242029997735299,0.011527536523096162
1,rhombus,4,16,55.24628760485614,34.61533923916926,30,0.016107531781209605,0.0005167877189330289,0.016107531781206996,0.0005167877189324772,2.666705038754302e-15,0.00014585432392495866,0.006805495467774811
1,rhombus,7,49,169.90680044746816,62.379885972825264,54,-0.06591051238232382,-0.048744183219531445,-0.06591051238232269,-0.04874418321952687,4.708871647324155e-15,0.00024124040688674575,0.004216310122897704
1,rhombus,10,100,346.45869424828334,90.38011743405372,78,-0.02057133515826015,-0.08555420986671072,-0.02057133515825424,-0.08555420986671057,5.9139081841950245e-15,0.00012698862790854363,0.003507398170404551
