beta,parameter,N,rms
0.0,4,64,0.11267926212112339
0.0,6,144,0.12348141974212115
0.0,8,256,0.14463286736734252
0.0,10,400,0.10116164590294992
0.0,12,576,0.11949350685943494
0.1,4,64,22.186645977874825
0.1,6,144,49.84868150691835
0.1,8,256,88.68581334770839
0.1,10,400,138.55879273147687
0.1,12,576,199.45390221286894
0.4,4,64,88.71048982031226
0.4,6,144,199.41298156717517
0.4,8,256,354.73725075451716
0.4,10,400,554.2173743819471
0.4,12,576,797.8321764595327
