beta,realization,seed,max_relative_junction_residual,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,0,5000,4.8073815231256556e-15,324,901,0.08929890829973104,0.17436426241599365,0.15384917188067915,-0.08205686028299364,1122.5461273135288,1.8103700392937965,-0.42148897165215704,-0.4216249515046529,-0.33929660979812004
0.02,0,5000,0.010000987675897315,324,901,0.10978780877095617,22.64403703246115,22.644008316242896,-0.03606246517567965,1122.5461273135288,2.208996673934573,0.11625364928984601,-0.42092921298977437,-0.33922018474114113
0.05,0,5000,0.02501563934804629,324,901,0.18758775588615914,56.37925664915575,56.37924703278624,0.032929127485317206,1122.5461273135288,3.6270507062050488,0.7968139788319458,-0.41783854268123977,-0.3370502576050883
0.1,0,5000,0.05012515831157886,324,901,0.35312744184104816,112.60474204275656,112.60464489369177,0.14791511525362502,1122.5461273135288,6.527520400066219,0.9570616667376335,-0.40791930279689265,-0.32835781596894437
0.2,0,5000,0.10100991378073436,324,901,0.6969557397014975,225.05575786744834,225.0554406155029,0.3778870907902377,1122.5461273135288,12.658573374363382,0.9912756099415893,-0.37360869563306875,-0.29635502078344006
0.4,0,5000,0.2062158665845941,324,901,1.389888686563935,449.95781208943487,449.957032059125,0.8378310418634864,1122.5461273135288,25.10778798891136,0.9981970225286474,-0.27821311368661217,-0.21157732611017865
0.0,1,5001,4.916841213588474e-15,324,901,0.09221052184186751,0.1296319938583586,0.08970058302277595,-0.09358557173553839,1122.4688963913472,1.889050899322075,-0.4190127634624589,-0.41901986137314085,-0.3326334980315214
0.02,1,5001,0.010000884853855243,324,901,0.1130806700781796,22.560201774410363,22.560071344577565,-0.07671394709339144,1122.4688963913472,2.2683439500795903,0.09700525639779173,-0.4163000067485214,-0.3311439288831428
0.05,1,5001,0.025015513038976846,324,901,0.19070742068598293,56.26565097041872,56.26562748690978,-0.05140651013019659,1122.4688963913472,3.6571699018445316,0.7585861992820242,-0.40984789758458884,-0.32670137728576065
0.1,1,5001,0.0501252658083126,324,901,0.35425949179405763,112.4415547694193,112.4415543907968,-0.00922744852483473,1122.4688963913472,6.536712215416047,0.9454415291222794,-0.39364885343804595,-0.3138349905137795
0.2,1,5001,0.10099710881607099,324,901,0.6969333465686032,224.7934207536946,224.79340819857083,0.07513067468584916,1122.4688963913472,12.652195299474494,0.9885582040058528,-0.3438126249829269,-0.2725537822354717
0.4,1,5001,0.20705615137670777,324,901,1.3888919764133463,449.49718195616344,449.49711581411884,0.2438469211072302,1122.4688963913472,25.086748744697886,0.9975856734745979,-0.22026195052661074,-0.1713393241153505
0.0,2,5002,4.477889148813448e-15,324,901,0.08538256252676676,0.10344654933732034,-0.0910978595617391,0.049013962837831326,1123.3569851751572,1.7306397213264666,-0.3953577816610378,-0.3953887286052865,-0.31844233312339054
0.02,2,5002,0.010000984957016922,324,901,0.10445747492629394,22.38138913955575,22.38136349087126,0.03388370875878241,1123.3569851751572,2.1337029084881016,0.16956696666285295,-0.3942615630645271,-0.31804033245393243
0.05,2,5002,0.025015520269306802,324,901,0.18510878761971433,56.09005663239304,56.090055516520785,0.011188327640194395,1123.3569851751572,3.5709495558191433,0.8192093324407932,-0.39057636320146316,-0.31525134130536697
0.1,2,5002,0.05012554003275373,324,901,0.3518361692242812,112.27121205256813,112.2712088926033,-0.02663730755744076,1123.3569851751572,6.48462425746241,0.9590528742741926,-0.37929143080599104,-0.3051917810604786
0.2,2,5002,0.1010172720202032,324,901,0.695695758247926,224.63353893370763,224.6335156447683,-0.10228857795270958,1123.3569851751572,12.620380590785633,0.9911351869331214,-0.3399610046288941,-0.26957529152459564
0.4,2,5002,0.20677442611422717,324,901,1.3881394553897888,449.35820070499807,449.35812914909843,-0.25359111874325213,1123.3569851751572,25.064448228297632,0.9980245975823676,-0.23400628750859198,-0.17796036079956842
0.0,3,5003,5.204752907591517e-15,324,901,0.09127169727152748,0.13443631449822646,-0.02810057632840124,-0.131466650774551,1122.1856812667468,1.8459636604843384,-0.4021393522073742,-0.4021438145527378,-0.3240587673684108
0.02,3,5003,0.010000986597471345,324,901,0.10976766928839067,22.437055234744097,22.436749276199315,-0.1171730511976891,1122.1856812667468,2.231190898311802,0.11779648705274103,-0.4049048152996905,-0.32459693929278494
0.05,3,5003,0.02501553563294949,324,901,0.1878627472969051,56.13410568760243,56.13402405499086,-0.09573265183239184,1122.1856812667468,3.632490596818885,0.7880271353843874,-0.4070273508582644,-0.3234548125012584
0.1,3,5003,0.05012545040434089,324,901,0.35256227073379476,112.296164714634,112.29614868631009,-0.0599986528902213,1122.1856812667468,6.5206203280529245,0.9551106218407274,-0.4047049099097738,-0.3166995918642943
0.2,3,5003,0.10101440836829902,324,901,0.6958414615056894,224.62039824176674,224.62039794894855,0.011469344994093356,1122.1856812667468,12.640165299368812,0.9905998439919544,-0.3790574079641813,-0.28905819041569625
0.4,3,5003,0.20723334140790964,324,901,1.3879479003627817,449.26892300734266,449.26889647422547,0.15440534076273918,1122.1856812667468,25.07423982055597,0.9979075072967964,-0.28699320180546073,-0.21296896946502186
0.0,4,5004,4.230077432183132e-15,324,901,0.09093624074021459,0.08906649384826473,0.07107992942944419,0.05367014028981304,1122.7677137250478,1.8347824586141575,-0.4032705568591404,-0.4032356260354116,-0.33324350496471733
0.02,4,5004,0.01000094094521746,324,901,0.1095548664267227,22.5220590621074,22.52203374341036,0.033770663882253665,1122.7677137250478,2.2235263854772422,0.11487050453650677,-0.4037385519902815,-0.33301029150997224
0.05,4,5004,0.025015611560892936,324,901,0.187393232996558,56.198464601198324,56.198464464381736,0.003921449270918531,1122.7677137250478,3.628395930509072,0.7960045655010729,-0.40228393729761813,-0.33038107584746723
0.1,4,5004,0.05012432589251086,324,901,0.3527878075995929,112.32585834774324,112.32584899933404,-0.0458272417479631,1122.7677137250478,6.517655325574733,0.953778034212834,-0.3942044260555594,-0.3203393269229435
0.2,4,5004,0.1010169320220667,324,901,0.6958583588277467,224.58066508853233,224.58061806923865,-0.1453246237857626,1122.7677137250478,12.6355138178466,0.9901030211784819,-0.35868297820279976,-0.2840954540760956
0.4,4,5004,0.20620901466653085,324,901,1.3874875279492696,449.09028820461907,449.0901562090478,-0.34431938786133254,1122.7677137250478,25.063876178941822,0.9978497907730739,-0.24804538271019394,-0.19133933527898295
0.0,5,5005,4.027473284543653e-15,324,901,0.09175544883698515,0.2097803748974096,-0.20971118860820104,0.005387305878938986,1122.7763616553957,1.8705846482371304,-0.4338984501244616,-0.43391814908746745,-0.34150367357864586
0.02,5,5005,0.010000976329182143,324,901,0.11115793849679564,22.270189593071606,22.270188456864766,-0.007113865490845278,1122.7763616553957,2.246027685001746,0.09041259645926014,-0.4333085481638758,-0.34106899322858486
0.05,5,5005,0.025015593959793463,324,901,0.1878137642547663,55.990043899622776,55.990037925074276,-0.025865622545499733,1122.7763616553957,3.6376317049586,0.7829559620633941,-0.42999550874049697,-0.3382090844405489
0.1,5,5005,0.05012513416469535,324,901,0.35266436245950056,112.18980157897799,112.18978703875673,-0.05711855096994711,1122.7763616553957,6.521524995594914,0.9519424902141709,-0.41885978466533513,-0.3280024447155052
0.2,5,5005,0.10101600757410924,324,901,0.6959480116546329,224.58931712427093,224.5892852661217,-0.11962440781880387,1122.7763616553957,12.641996480790393,0.989956055635886,-0.37980430902035445,-0.29214267238173364
0.4,5,5005,0.2077296651564043,324,901,1.3884196625924463,449.3883483078433,449.38828172085164,-0.2446361215165663,1122.7763616553957,25.083369087010766,0.9978354126897837,-0.2695846027164555,-0.2005608893285043
0.0,6,5006,4.466717762242534e-15,324,901,0.09089080074407821,0.06571291332975365,0.03495455538778325,-0.05564500009817691,1122.3690578884634,1.8449428316286398,-0.4292892719858507,-0.42921718273738435,-0.3455723549448752
0.02,6,5006,0.010000962914398653,324,901,0.10919976540461089,22.516431038791964,22.5164198629734,-0.022433879982649257,1122.3690578884634,2.2296373825621454,0.10700569585072674,-0.4278014498966727,-0.3451249236058204
0.05,6,5006,0.025015493189854365,324,901,0.1887761012688272,56.23862449074699,56.23861782435181,0.02738280019066275,1122.3690578884634,3.6317440355581674,0.7784482049366647,-0.423616256296743,-0.34241949085069695
0.1,6,5006,0.05012494640926588,324,901,0.3537969040358757,112.44233530111761,112.44228109331587,0.11041060047951368,1122.3690578884634,6.521674964244685,0.9487779195591615,-0.41160577272244536,-0.332759193361443
0.2,6,5006,0.10097279274351202,324,901,0.6969935595647099,224.84977759714306,224.84960763124397,0.27646620105720365,1122.3690578884634,12.644698109206507,0.9889986409020978,-0.3710280143847036,-0.2978380294281756
0.4,6,5006,0.20627119688376702,324,901,1.3894053853520332,449.66467253245213,449.66426070710014,0.6085774022125873,1122.3690578884634,25.085530273042064,0.997613901075929,-0.2555708995528438,-0.20294687530555233
0.0,7,5007,5.1949516550318805e-15,324,901,0.08787377286748108,0.2367832868370104,-0.23674468074166777,0.00427563631097666,1121.683007870875,1.7912320772937975,-0.4119903380481514,-0.4120365108547251,-0.33056882936981624
0.02,7,5007,0.010000966546462544,324,901,0.10714291253180952,22.15737354217918,22.157358234732968,0.026045064274996754,1121.683007870875,2.175652907217943,0.1335624930775015,-0.41105808414471173,-0.33083193289046803
0.05,7,5007,0.025015508772031562,324,901,0.18574187839523487,55.74854351097434,55.748512607944875,0.05869920622102087,1121.683007870875,3.583961773634636,0.8007353201855553,-0.406827636401225,-0.32888054804660277
0.1,7,5007,0.05012540609616263,324,901,0.35072552544349495,111.73382716114155,111.7337698966314,0.11312277613107011,1121.683007870875,6.472557991437312,0.9558436579727099,-0.3931453806704997,-0.3197737285563048
0.2,7,5007,0.10098917830219295,324,901,0.6930064399229733,223.7043945984743,223.70428447400445,0.22196991595117835,1121.683007870875,12.579003252257241,0.9907136584122216,-0.34936364305374257,-0.28462414627952065
0.4,7,5007,0.20612757989232772,324,901,1.3829123070603209,447.64552954138543,447.6453136287506,0.4396641955913775,1121.683007870875,24.97721798691392,0.9980124380566496,-0.24139530808729315,-0.1914691346444961
0.0,8,5008,5.0675147455968e-15,324,901,0.08517362483194087,0.22095990810760416,-0.16994178655897896,0.14121993546260853,1121.1982832087413,1.738159504275033,-0.39464855259389064,-0.39467595448034837,-0.3224254581508224
