eta,realization,cells,perturbed_generators,mean_local_gap,maximum_local_gap,regional_gap,normalized_gap,boundary_norm,identity_error
0.0,0,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,1,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,2,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,3,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,4,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,5,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,6,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,7,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,8,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,9,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,10,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,11,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,12,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,13,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,14,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,15,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,16,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,17,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,18,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.0,19,361,81,1.708283572024686e-15,4.884981308350689e-15,1.3322676295501878e-15,5.326766444275803e-19,7.182957223360836e-14,5.0785018481474846e-14
0.05,0,361,81,0.02305889860829594,0.20078736666422228,2.2738053315678484e-13,9.091288921506275e-17,7.182957223360836e-14,1.765886569617572e-13
0.05,1,361,81,0.021296581234871752,0.19182132420099707,2.305336310645692e-13,9.2173583069523e-17,7.244890543134356e-14,4.035182431951392e-13
0.05,2,361,81,0.02288438344042006,0.22916610164582427,7.771561172376096e-15,3.107280425827557e-18,7.244890543134354e-14,2.7860278313455693e-13
0.05,3,361,81,0.023550477778388316,0.17040029383152522,4.547719015266669e-13,1.8183011064148171e-16,7.308457971937205e-14,4.0307415398528913e-13
0.05,4,361,81,0.023818182204141527,0.3157995406035132,2.1024848528838902e-14,8.406303294872763e-18,7.373617247278041e-14,2.794909615542571e-13
0.05,5,361,81,0.02360270478943647,0.2158213535120951,4.548067177211172e-13,1.8184403109801776e-16,7.182957223360834e-14,4.0396233240498926e-13
0.05,6,361,81,0.025629244768701903,0.23810779011161617,4.547475814911255e-13,1.8182038683326393e-16,7.182957223360836e-14,6.313360078482213e-13
0.05,7,361,81,0.021797853372239984,0.17376998983524308,2.274046335082546e-13,9.092252518764492e-17,7.244890543134356e-14,2.78602783134557e-13
0.05,8,361,81,0.022642809483469587,0.21127766363036202,2.2744642827507094e-13,9.093923586622671e-17,7.122700639467759e-14,2.7771460471485686e-13
0.05,9,361,81,0.0243632691526162,0.1929132366437426,2.3772650514786164e-14,9.504948874004651e-18,7.064163698735051e-14,7.320178663914709e-13
0.05,10,361,81,0.023321676863273418,0.16319063545557316,2.2757697791637544e-13,9.099143314500082e-17,7.440326547091111e-14,1.7481230012235695e-13
0.05,11,361,81,0.024433141236108603,0.20084120909193695,4.55125443098985e-13,1.8197146612759508e-16,7.308457971937205e-14,2.7904687234440704e-13
0.05,12,361,81,0.027716728480934844,0.2419998918735903,9.096330169238687e-13,3.6369589140219397e-16,7.308457971937205e-14,7.337942232308712e-13
0.05,13,361,81,0.021442045271020536,0.2011616193883914,2.2737389948333624e-13,9.091023689293586e-17,7.244890543134356e-14,4.035182431951392e-13
0.05,14,361,81,0.02106201928441519,0.16954990605916906,2.0684842727547448e-14,8.270359776242809e-18,7.182957223360836e-14,2.781586939247069e-13
0.05,15,361,81,0.02580689552133165,0.2106730811446396,2.279497281533088e-13,9.114046877494124e-17,7.244890543134356e-14,2.78602783134557e-13
0.05,16,361,81,0.025756936463829167,0.23100426558566026,2.2803551590367196e-13,9.117476903862915e-17,7.244890543134356e-14,2.78602783134557e-13
0.05,17,361,81,0.02171522885924368,0.14707393108659877,4.548384689503645e-13,1.8185672609853936e-16,7.122700639467761e-14,4.044064216148393e-13
0.05,18,361,81,0.024641582345160423,0.19152059561748505,2.277225818295831e-13,9.104964952899353e-17,7.122700639467759e-14,4.044064216148393e-13
0.05,19,361,81,0.02665826684638756,0.2068802446586097,2.273805062378293e-13,9.091287845213599e-17,7.308457971937205e-14,6.304478294285212e-13
0.1,0,361,81,0.04662516175940134,0.4266800010521284,2.278707875929633e-13,9.110890620308151e-17,7.244890543134356e-14,5.05976458577789e-13
0.1,1,361,81,0.043095897893217126,0.3792910992510301,4.558124198561299e-13,1.8224613802209964e-16,7.308457971937205e-14,5.064205477876391e-13
0.1,2,361,81,0.04622476618966464,0.4675289603048701,4.547499599522153e-13,1.8182133780635982e-16,7.182957223360836e-14,6.313360078482213e-13
0.1,3,361,81,0.04759595698442836,0.35002106354649387,4.56277081722625e-13,1.8243192240832062e-16,7.122700639467759e-14,1.770327461716073e-13
0.1,4,361,81,0.04804046613174678,0.6575252773233033,4.547583587934144e-13,1.818246958903122e-16,7.308457971937206e-14,8.578215048717533e-13
0.1,5,361,81,0.047780910813371026,0.443257426819972,4.547701321139842e-13,1.8182940318241758e-16,7.308457971937205e-14,2.7904687234440704e-13
