realization,shape,target_n,n,parameter,sum_W_real,sum_W_imag,total_area,delta_total,area_normalized_delta,orientation_null_squared,area_normalized_null_squared
1,disk,49,55,7.615773105863909,0.07750339914527249,0.2639128164500841,190.52164608207656,0.2750577240611272,0.0014437085219315845,0.5355704599276981,1.4754617820509309e-05
1,rhombus,100,100,10.0,-0.02057133515826015,-0.08555420986671072,346.45869424828334,0.08799262841915027,0.00025397725581708725,1.0152759992592402,8.45826312304818e-06
1,disk,100,97,10.488088481701515,0.16253896745066232,0.0557543078028475,335.600445322368,0.17183555737536432,0.000512024223359728,0.9689550595466481,8.603171450114636e-06
1,rhombus,225,225,15.0,0.06199863554138885,0.021964116401316444,779.5810515593721,0.06577425954189482,8.43712907212516e-05,2.3828589208504436,3.920809854488521e-06
1,disk,225,223,15.748015748023622,-0.17302822447889277,-0.3211846178671814,772.6535620079203,0.36482643163675166,0.0004721733640736285,2.165894823281654,3.6280038656168176e-06
1,rhombus,400,400,20.0,0.1275645369631806,0.08744148681133179,1385.3890400282082,0.15465679650893777,0.00011163419952116033,4.249924575850115,2.214306462250071e-06
1,disk,400,397,20.97617696340303,-0.12245949968683822,-0.08012058829339565,1375.155121085925,0.14634082729037218,0.00010641768702778095,4.256937662593351,2.2510954469596326e-06
2,rhombus,4,4,2.0,0.033565078626117906,0.04762686064804951,13.713787495369528,0.0582660480757551,0.004248720355002488,0.01185153823731312,6.30173144149069e-05
2,disk,4,7,2.8284271247461903,-0.096518187604,-0.13955503295652283,23.99776305658434,0.16968019260319428,0.0070706670535543355,0.041113810243672555,7.139145038352344e-05
2,rhombus,16,16,4.0,0.04122488173854544,-0.17066266817695608,54.98947115436962,0.17557117412501083,0.0031928143777221877,0.09585630672853736,3.170017107345795e-05
2,disk,16,19,4.69041575982343,0.038645456390959065,-0.015617268674997964,65.75391721658174,0.04168177516052539,0.0006339055819782267,0.18189330616235186,4.2070091428136474e-05
2,rhombus,49,49,7.0,0.034453667938481924,0.04268463573688169,169.47585511446027,0.05485465670665942,0.00032367239964425486,0.5217709869961479,1.8166207009021482e-05
2,disk,49,55,7.615773105863909,0.05946891014140565,-0.24681386176628245,190.11738290317118,0.25387720187797913,0.0013353708009292422,0.6104945382821071,1.6890329747834987e-05
2,rhombus,100,100,10.0,-0.09273101494502223,-0.027480578472331207,346.140403967269,0.09671723386195394,0.0002794161928322575,1.1496271474740238,9.595164359944764e-06
2,disk,100,97,10.488088481701515,0.043758265698143006,-0.009396643016143041,336.0975795752954,0.04475581210169366,0.00013316314910166463,1.029076787013857,9.109971370062225e-06
2,rhombus,225,225,15.0,-0.08392268046392504,-0.018960401119578113,781.3143255299647,0.08603785856740837,0.00011011939210131464,2.166891314315868,3.5496501725018227e-06
2,disk,225,223,15.748015748023622,0.04484532837359323,0.0012367866924041793,773.2722334389728,0.044862379765878604,5.801628175159244e-05,2.1961213837162323,3.672751197163268e-06
2,rhombus,400,400,20.0,-0.09689192779012501,0.016879033722121947,1385.5115470190663,0.09835114361449657,7.09854377078989e-05,3.483400607077459,1.8146092651694396e-06
2,disk,400,397,20.97617696340303,0.03024691403128532,-0.11737113633072027,1375.7804922001185,0.12120585568354562,8.809970512789859e-05,3.5578085521000595,1.8796815581473073e-06
