n,eccentricity,gap,trace,normalized_gap
4,0.0,0.0,4.0,0.0
4,0.0025037593984962407,1.2537622250841096e-05,3.9999874623581,3.1344153872546965e-06
4,0.005007518796992481,5.015048900025576e-05,3.9999498491966077,1.2537779444991921e-05
4,0.007511278195488722,0.0001128386002149373,3.999887159808127,2.8210445871765574e-05
4,0.010015037593984963,0.00020060195576521167,3.999799393013587,5.0153004202061055e-05
4,0.012518796992481204,0.0003134405553151254,3.999686547162137,7.836627986198522e-05
4,0.015022556390977444,0.00045135439816634815,3.999548620130986,0.00011285133424670462
4,0.017526315789473685,0.0006143434830570005,3.9993856093252074,0.00015360946481993645
4,0.020030075187969926,0.0008024078079198471,3.9991975116774903,0.00020064220523663802
4,0.022533834586466166,0.001015547369593417,3.998984323647853,0.0002539513254873277
4,0.025037593984962407,0.0012537621634851615,3.9987460412233116,0.00031353883206386516
4,0.027541353383458648,0.001517052183195755,3.998482659917499,0.0003794069681490269
4,0.03004511278195489,0.001805417420093658,3.9981941747702447,0.0004515582138272226
4,0.03254887218045113,0.0021188578628503763,3.997880580347103,0.0005299952863190359
4,0.03505263157894737,0.00245737349691999,3.997541870738848,0.0006147211402355629
4,0.03755639097744361,0.002820964303985596,3.997178039560909,0.0007057389678583042
4,0.04006015037593985,0.0032096302613515704,3.9967890799527703,0.0008030521994394305
4,0.042563909774436096,0.003623371341292314,3.9963749845773258,0.0009066645035251961
4,0.04506766917293233,0.0040621875103579175,3.99593574562018,0.0010165797873027248
4,0.04757142857142857,0.004526078728625649,3.995471354788916,0.0011328021969675129
4,0.050075187969924814,0.00501504494891547,3.994981803312304,0.0012553361181163367
4,0.05257894736842106,0.0055290861159496,3.9944670819394745,0.0013841861761607023
4,0.055082706766917296,0.00606820216546855,3.993927180939041,0.0015193572367640943
4,0.05758646616541353,0.0066323930233009865,3.9933620900981763,0.0016608544063025173
4,0.06009022556390978,0.0072216586043840625,3.992771798721642,0.0018086830323476555
4,0.06259398496240602,0.00783599881173358,3.9921562956307737,0.0019628487041726574
4,0.06509774436090227,0.00847541353537018,3.9915155691624156,0.0021233572532822842
4,0.0676015037593985,0.009139902651192466,3.9908496071678137,0.0022902147539653295
4,0.07010526315789474,0.00982946601980439,3.990158397011452,0.0024634275238713484
4,0.07260902255639098,0.01054410348528756,3.989441925569852,0.0026430021246095564
4,0.07511278195488721,0.01128381487393293,3.988700179230317,0.0028289453623737445
4,0.07761654135338346,0.012048599992907638,3.987933143889628,0.0030212642885873568
4,0.0801203007518797,0.01283845862888544,3.987140804952699,0.0032199662005760916
4,0.08262406015037595,0.013653390546616517,3.9863231473311687,0.0034250586422622112
4,0.08512781954887219,0.014493395487446659,3.985480155441961,0.0036365494048832985
4,0.08763157894736842,0.01535847316778649,3.98461181320578,0.003854446527735906
4,0.09013533834586467,0.01624862327752452,3.983718104045569,0.004078758298942795
4,0.09263909774436091,0.017163845478387785,3.9827990108849045,0.004309493256245008
4,0.09514285714285714,0.018104139402249864,3.9818545161463526,0.004546660187818989
4,0.09764661654135338,0.019069504649378732,3.9808846017497683,0.004790268133117165
4,0.10015037593984963,0.0200599407866362,3.9798892491105464,0.00504032638373526
4,0.10265413533834587,0.021075447345613174,3.978868439137814,0.005296844484302688
4,0.10515789473684212,0.02211602382071698,3.9778221522325805,0.005559832233400432
4,0.10766165413533835,0.023181669667190707,3.9767503682858307,0.005829299684501724
4,0.11016541353383459,0.02427238429908818,3.975653066676556,0.006105257146941812
4,0.11266917293233084,0.025388167087171398,3.9745302262697546,0.006387715186908805
4,0.11517293233082707,0.02652901735676405,3.9733818254143536,0.0066766846284644545
4,0.11767669172932331,0.027694934385540604,3.9722078419410867,0.006972176554590106
4,0.12018045112781955,0.028885917401247685,3.9710082531603255,0.007274202308257314
4,0.1226842105263158,0.030101965579369727,3.9697830358598383,0.007582773493526648
4,0.12518796992481204,0.03134307804073,3.9685321663025066,0.00789790197667276
4,0.12769172932330827,0.03260925384902591,3.9672556202239813,0.00821959988733594
4,0.13019548872180453,0.0339004920083017,3.9659533728302767,0.008547879619701337
4,0.13269924812030076,0.035216791460354724,3.9646253987953153,0.008882753833705358
4,0.135203007518797,0.03655815108207516,3.963271672258408,0.009224235456269663
4,0.13770676691729325,0.03792456968271418,3.9618921668216793,0.009572337682561952
4,0.14021052631578948,0.03931604600109173,3.9604868555474324,0.009927073977286899
4,0.1427142857142857,0.040732578702726174,3.959055710955452,0.01028845807600319
4,0.14521804511278197,0.042174166376898636,3.957598705020249,0.010656503986470466
4,0.1477218045112782,0.043640807533641635,3.956115809168244,0.011031225990024018
4,0.15022556390977443,0.045132500600658654,3.9546069942748856,0.011412638642979521
4,0.1527293233082707,0.04664924392016667,3.953072230661712,0.011800756778066251
4,0.15523308270676692,0.04819103574566186,3.9515114880933426,0.01219559550588949
4,0.15773684210526318,0.049757874238615774,3.949924735774411,0.012597170216424487
4,0.1602406015037594,0.05134975746508341,3.948311942346427,0.0130054965805379
4,0.16274436090225564,0.05296668339224242,3.9466730758845814,0.013420590551542154
4,0.1652481203007519,0.05460864988484504,3.945008103894476,0.013842468366778734
4,0.16775187969924812,0.05627565470159146,3.9433169933087937,0.014271146549233208
4,0.17025563909774438,0.05796769549142011,3.9415997104838914,0.014706641909181513
4,0.1727593984962406,0.05968476978970938,3.9398562211963357,0.015148971545866748
4,0.17526315789473684,0.06142687501440136,3.9380864906393604,0.0155981528492099
4,0.1777669172932331,0.06319400846203149,3.9362904834192527,0.016054203501551064
4,0.18027067669172933,0.06498616730366957,3.934468163551676,0.01651714147942324
4,0.18277443609022556,0.06680334858077619,3.932619494457912,0.01698698505536057
4,0.18527819548872182,0.06864554920096078,3.930744438961033,0.01746375279973812
4,0.18778195488721805,0.07051276593364775,3.928842959282002,0.017947463582645713
4,0.19028571428571428,0.07240499540565026,3.9269150170356895,0.018438136575796495
4,0.19278947368421054,0.0743222340966434,3.9249605732268242,0.018935791254468815
4,0.19529323308270677,0.07626447833453853,3.92297958824586,0.019440447399482853
4,0.19779699248120303,0.0782317242907633,3.920972021864764,0.019952125099213867
4,0.20030075187969926,0.08022396797542797,3.9189378332327287,0.020470844751638042
4,0.2028045112781955,0.08224120523239797,3.9168769808718014,0.020996627066416848
4,0.20530827067669175,0.08428343173425534,3.9147894226724302,0.02152949306701643
4,0.20781203007518798,0.08635064297715211,3.9126751158889324,0.0220694640928637
4,0.21031578947368423,0.08844283427555588,3.910534017134869,0.022616561801540164
4,0.21281954887218046,0.09056000075687853,3.908366082378347,0.023170808171012046
4,0.2153233082706767,0.09270213735599642,3.9061712669372217,0.02373222550189996
4,0.21782706766917295,0.09486923880964948,3.903949525474221,0.02430083641978581
4,0.22033082706766918,0.09706129965072319,3.901700811991974,0.024876663877558956
4,0.2228345864661654,0.09927831420241051,3.899425079827954,0.025459731157802052
4,0.22533834586466167,0.10152027657224627,3.897122281649326,0.026050061875215583
4,0.2278421052631579,0.10378718064602155,3.8947923694477007,0.026647679979084238
4,0.23034586466165413,0.10607902008156933,3.8924352945337954,0.02725260975578391
4,0.2328496240601504,0.10839578830240959,3.8900510075320023,0.027864875831327476
4,0.23535338345864662,0.11073747849127669,3.887639458374847,0.028484503173956455
4,0.23785714285714288,0.1131040835834971,3.8852005962973637,0.02911151709677139
4,0.2403609022556391,0.11549559626023798,3.882734369831354,0.029745943260407616
4,0.24286466165413534,0.11791200894160969,3.8802407267995576,0.03038780767575318
4,0.2453684210526316,0.12035331377962288,3.877719614309706,0.031037136706710454
4,0.24787218045112783,0.12281950265100283,3.87517097874848,0.03169395707300338
4,0.2503759398496241,0.12531056714985067,3.8725947657753554,0.032358295853029045
4,0.2528796992481203,0.12782649858015382,3.8699909203163365,0.03303018048675555
4,0.25538345864661655,0.130367287948137,3.8673593865575864,0.03370963877866534
4,0.2578872180451128,0.1329329259544556,3.8647001079389383,0.03439669890074584
