eta,realization,i,j,delta,W_real,W_imag,area
0.0,0,-9,-9,2.6645352591003757e-15,2.6645352591003757e-15,0.0,3.4641016151377517
0.0,0,-9,-8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,-9,-7,2.220446049250313e-15,2.220446049250313e-15,0.0,3.4641016151377517
0.0,0,-9,-6,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,-9,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-9,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-9,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-9,-2,0.0,0.0,0.0,3.464101615137755
0.0,0,-9,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-9,0,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377544
0.0,0,-9,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-9,2,8.881784197001252e-16,8.881784197001252e-16,0.0,3.464101615137755
0.0,0,-9,3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-9,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-9,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-9,6,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,-9,7,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,-9,8,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,-9,9,2.220446049250313e-15,1.7763568394002505e-15,-1.3322676295501878e-15,3.464101615137751
0.0,0,-8,-10,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,-8,-9,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,-8,-8,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,-8,-7,8.881784197001252e-16,8.881784197001252e-16,0.0,3.46410161513775
0.0,0,-8,-6,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,-8,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-8,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-8,-3,0.0,0.0,0.0,3.4641016151377544
0.0,0,-8,-2,4.440892098500626e-16,4.440892098500626e-16,0.0,3.464101615137755
0.0,0,-8,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-8,0,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-8,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-8,2,4.440892098500626e-16,4.440892098500626e-16,0.0,3.464101615137755
0.0,0,-8,3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-8,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-8,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-8,6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
0.0,0,-8,7,4.636427468134552e-15,4.440892098500626e-15,1.3322676295501878e-15,3.4641016151377526
0.0,0,-8,8,4.440892098500626e-15,4.440892098500626e-15,0.0,3.4641016151377535
0.0,0,-8,9,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,-7,-10,2.6645352591003757e-15,-2.6645352591003757e-15,0.0,3.464101615137757
0.0,0,-7,-9,2.220446049250313e-15,2.220446049250313e-15,0.0,3.4641016151377517
0.0,0,-7,-8,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,-7,-7,3.1086244689504383e-15,3.1086244689504383e-15,0.0,3.4641016151377517
0.0,0,-7,-6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
