eps,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,0,3000,324,901,0.09636089785994541,0.047009523459047256,0.04326423532876866,0.018387529395316807,1121.4024517673631,1.952409574234401,-0.45694744641478535,-0.45695933054285554,-0.36902431681295084
0.0,1,3001,324,901,0.08930551911895272,0.034464370409500705,-0.0343071792590397,0.00328789887487195,1123.1633392880349,1.82216766709175,-0.4105393431037854,-0.4105461921705573,-0.33282241815669084
0.0,2,3002,324,901,0.09023787725802367,0.164661141429881,-0.15038725627894234,-0.0670594113147662,1121.919749852873,1.8205960969435193,-0.39678720313181143,-0.39669836134352254,-0.3270303192458649
0.0,3,3003,324,901,0.08651404181459545,0.08817920005564354,-0.010548813067470686,-0.08754595287802153,1122.7897025131913,1.7817141038820243,-0.4414524011365669,-0.44148766538219864,-0.3508002485566152
0.0,4,3004,324,901,0.09386139554144697,0.21976643818644057,0.20292975775971467,0.08436113304560418,1122.6866100429484,1.9250382994334132,-0.43369376211327204,-0.4337125299108316,-0.34469738048615656
0.0,5,3005,324,901,0.09405889430674069,0.24806005738839448,-0.1635128270132844,0.18654047140944321,1121.7540403501505,1.9122483874638445,-0.4395354000236407,-0.43946638955196016,-0.3593358981427996
0.0,6,3006,324,901,0.08973435814084431,0.07567678238153953,0.035184925096576336,0.0669999734147052,1122.5331750962691,1.7917510647855412,-0.40559356610167663,-0.4056070554683156,-0.3321619606325904
0.0,7,3007,324,901,0.0802189255071648,0.03492176072063591,0.03139036298989284,-0.015302760639574635,1122.7458453132733,1.6494254646199258,-0.40210372532303246,-0.4021028688582285,-0.3188798301762708
0.0,8,3008,324,901,0.082726757997873,0.04572324345196875,0.008987202857537291,-0.04483129684233411,1122.6892997332445,1.6813604449362725,-0.398737544557118,-0.3987636592710256,-0.31862561720739235
0.0,9,3009,324,901,0.08460388415110447,0.09404603148737668,0.027766611596597546,-0.0898536104948952,1122.8352144490764,1.706950789701386,-0.40511937964837424,-0.4050984771237528,-0.32860727445754806
0.0,10,3010,324,901,0.09321546244950255,0.28652232113298415,0.05712839240443479,0.28076927767958837,1123.5839453701878,1.8917950880790955,-0.40950001036045364,-0.4098328022343708,-0.32991766759783286
0.0,11,3011,324,901,0.09152703739969018,0.050532915350962646,0.0252458928322703,0.043774655098230975,1122.4590705495452,1.8340638064162587,-0.4122050127132336,-0.4122348165299772,-0.335618623579751
0.0,12,3012,324,901,0.08125835844787882,0.11521961457518148,0.07856285923929951,-0.08428188851111124,1122.6547613057867,1.6342563118512388,-0.3787264191029787,-0.3787818669343218,-0.30384759466768674
0.0,13,3013,324,901,0.08715343176677344,0.16371171394981857,-0.0026607243712142292,0.16369009081250963,1122.0685920514388,1.7682417058172697,-0.4092832453524608,-0.40915792952213115,-0.328873803670548
0.0,14,3014,324,901,0.0869655472871076,0.08182140089612523,0.03966799752973538,-0.07156250146959195,1121.6020315906635,1.7674637790161385,-0.38008497268799596,-0.380072138539638,-0.302631006001822
0.0,15,3015,324,901,0.09535124188153726,0.1392100705045751,-0.1266464533613303,0.05779376766473317,1122.4159031981947,1.9361328773479958,-0.4057448752859412,-0.4055706786593025,-0.33523118760617104
0.0,16,3016,324,901,0.08690289185964711,0.04599459262388896,-0.04548451521621644,0.0068309169357617106,1123.6641523491962,1.7541628577211335,-0.3792249070002316,-0.379233509507855,-0.30437585028486414
0.0,17,3017,324,901,0.08981561511834245,0.07694613429549092,-0.0691877326455197,0.03367143053675939,1122.0699299547607,1.8063514834967385,-0.4036593416633347,-0.4036803136784099,-0.3318455204149866
0.0,18,3018,324,901,0.0884339368432857,0.13875504130987987,-0.05527154981926019,0.1272714314741667,1122.4800251565366,1.8109000006485128,-0.42074730246473113,-0.4206289040456055,-0.336566861984499
0.0,19,3019,324,901,0.08372719143753507,0.06091021467626592,0.010847605374559421,-0.05993649730795611,1122.7052742279639,1.6965531377837906,-0.37961539392869176,-0.37963765277874467,-0.3095703392298248
0.0,20,3020,324,901,0.09055173002191215,0.18551038706127243,0.184605485701824,-0.018300774749085667,1122.3873329097057,1.8542725136929965,-0.4136410046006878,-0.4138260529807966,-0.33263725287936474
0.0,21,3021,324,901,0.08299144781778948,0.1023748893736323,-0.02850077605971668,0.0983276346621708,1123.1651192150389,1.7039789606183995,-0.41244181838330085,-0.41241742194091024,-0.32983230190594204
0.0,22,3022,324,901,0.08800112024485385,0.09687258166689922,-0.074543856901089,0.061866877059699926,1122.6603593674097,1.797928236205207,-0.42002487199421246,-0.42001233753723083,-0.33343633046784493
0.0,23,3023,324,901,0.09428140459179844,0.1153804790120506,0.07177649252174367,-0.09033709126558329,1121.5841093679176,1.892171203690502,-0.42025090613010635,-0.42031942299908637,-0.34000230540606585
0.0,24,3024,324,901,0.08843879681602963,0.12248915481903415,0.10775997145085547,-0.05823556989668882,1123.1245086595331,1.815896193624139,-0.4281551633148539,-0.42807495065990175,-0.3421850719523789
0.0,25,3025,324,901,0.08775630127479593,0.1806074790647641,-0.179835785239983,0.016677884795378323,1122.7440322607306,1.7802218456177632,-0.4011902532664531,-0.40120836774689844,-0.3294930109471317
0.0,26,3026,324,901,0.08928014019178729,0.15309339572317568,-0.07858943708280286,0.1313822217541667,1122.609608994969,1.8469641767120648,-0.41275882171903905,-0.4127202913629897,-0.32616735786538203
0.0,27,3027,324,901,0.08742237458299687,0.16948119740637405,0.13397835981258233,0.10379631677583052,1122.1001770135615,1.7667766658787296,-0.3896615908388105,-0.38937637934209457,-0.32211230249302747
0.0,28,3028,324,901,0.09089375069310213,0.24578645226655707,-0.005797905758370803,0.2457180587718322,1121.5359607625032,1.8250910714474367,-0.41446698881329846,-0.41446661593699774,-0.3364614215631567
0.0,29,3029,324,901,0.08997830834324702,0.05755499333928098,0.05397111493221596,-0.01999239883701337,1122.980632581686,1.812060401043729,-0.4112031036359815,-0.41119086953138306,-0.33313300395123524
0.0,30,3030,324,901,0.09218745173179316,0.18894848844784998,-0.08619401905074131,0.16814316033252064,1122.1892399168037,1.8930536230372474,-0.41254968907496514,-0.4126069923247064,-0.32744241898866694
0.0,31,3031,324,901,0.08621544122183342,0.03726200160582239,0.0368072890088329,-0.005803467885028668,1123.0527784532255,1.7609593769311203,-0.4012072929819082,-0.401181186159649,-0.31843077211935794
0.0,32,3032,324,901,0.08976033385913633,0.08255809068249963,0.011392312030340968,-0.08176829192139934,1122.3909244829895,1.8263452118214656,-0.41645624442709217,-0.4164462268123833,-0.3318411074732707
0.0,33,3033,324,901,0.08643513366366916,0.06226407194490536,0.0615302104607367,0.009531414156241397,1121.3294104919396,1.77934984275802,-0.4158221319978115,-0.4157702108425107,-0.32707427539167633
0.0,34,3034,324,901,0.08750457029993136,0.12378930734715338,0.07691320066027574,0.09699562968340461,1122.239534247475,1.7725228910856783,-0.40762935711801546,-0.40769329634392587,-0.3339278298303573
0.0,35,3035,324,901,0.08358207270988031,0.02227829427474108,0.022264515715591404,0.0007834128810178254,1122.4098324181293,1.685036185671437,-0.38589823403401446,-0.3858866926617692,-0.3190985642845358
0.0,36,3036,324,901,0.09126846855633573,0.019485788803305214,0.004025253754357028,-0.01906550019013531,1121.4919970730432,1.8712730557901585,-0.4065440887367941,-0.4065531495438005,-0.3314056842930733
0.0,37,3037,324,901,0.09125831744473012,0.1565321706087981,0.01766293722844381,-0.15553244383075168,1121.8139253935694,1.840932938478241,-0.42409270642859087,-0.42395929322674347,-0.34741741138478893
0.0,38,3038,324,901,0.0957370246464463,0.056573000704269336,-0.02932511333904042,-0.048379149809992444,1123.1151832444054,1.9429724629124767,-0.43619469688767326,-0.43619159974669175,-0.34878710617105835
0.0,39,3039,324,901,0.09066727958967864,0.1803035515741044,-0.17516650008067902,-0.04273251642158707,1121.9565411430983,1.854200529702937,-0.4334612289352687,-0.43360122854152167,-0.3435471662753778
0.01,0,3000,324,901,0.0965727870441843,0.05038266381321435,0.046110702758456856,0.020303100847816766,1121.4015625745403,1.9601587647770926,-0.4583082494428376,-0.4583220725853299,-0.3696313370234008
0.01,1,3001,324,901,0.08932708902251074,0.03579478380622914,-0.03568482398828632,0.002803548583440167,1123.1640356396997,1.8254190702967257,-0.41010386243047453,-0.4101102330360279,-0.3318252576994035
0.01,2,3002,324,901,0.09061934099128754,0.16772822662368633,-0.15425436504531032,-0.06586614358526566,1121.922780737694,1.8279556151517058,-0.3978461677475932,-0.39776095759327706,-0.3279323302776232
0.01,3,3003,324,901,0.08638224119904458,0.0860252943244442,-0.011884718428584407,-0.08520037987873362,1122.7899257047886,1.7789663915562017,-0.44048778003800587,-0.4405236728547692,-0.35033770407763926
0.01,4,3004,324,901,0.09439552704574558,0.22574286804670893,0.21011899456927186,0.08252181890356115,1122.6825006136844,1.940908104834571,-0.4356932600960283,-0.435709350033562,-0.3450931986379042
0.01,5,3005,324,901,0.09427902779653738,0.24712238071554485,-0.17029165072894514,0.17908161475296577,1121.7573613767402,1.9175409474976728,-0.44030751382791483,-0.44025815861129164,-0.36014290603730875
0.01,6,3006,324,901,0.08957260455326484,0.07653984994856576,0.03820400950067793,0.06632346710042436,1122.5324449484744,1.7875280525450887,-0.40444421174475087,-0.4044573963976802,-0.3314427005182441
0.01,7,3007,324,901,0.08037601501378837,0.03465654562058699,0.030419056886415774,-0.016605936664121905,1122.7452303702735,1.6534046481552669,-0.40272174122087684,-0.402722075359165,-0.31920587378913534
0.01,8,3008,324,901,0.08279344435000532,0.044020193070844774,0.009889572690159998,-0.04289491519982866,1122.6891119278744,1.682705733600498,-0.3991026091086657,-0.39912226859544914,-0.31863312028303403
0.01,9,3009,324,901,0.0847324381845624,0.09337101478887275,0.03175932407544968,-0.08780371140774434,1122.834622224501,1.7102300749326753,-0.4064025881473722,-0.40637717726354017,-0.32950637309560216
0.01,10,3010,324,901,0.09372340390476032,0.27574706136371524,0.05513627522008413,0.27017852062216136,1123.5828284470454,1.902735779485497,-0.41102238608131625,-0.411349796417675,-0.33105562790864507
0.01,11,3011,324,901,0.0913859158391443,0.04973126316428254,0.02629172074750885,0.04221307802151056,1122.458557800926,1.8309897378456073,-0.4112524295641572,-0.41128242042707713,-0.33519123954023183
0.01,12,3012,324,901,0.08143942625777466,0.11334887534840236,0.07948530452683844,-0.08080874895098558,1122.65318888184,1.6413762685925897,-0.3817745881943748,-0.3818321490357873,-0.30526714644379954
0.01,13,3013,324,901,0.08736873062258095,0.15646633260242923,-0.0036952372312488713,0.15642269163986022,1122.068655287012,1.7743307669156971,-0.4101311730460363,-0.41000578636711477,-0.328712355899613
0.01,14,3014,324,901,0.0870454274681148,0.08107359849700076,0.03992949111001254,-0.07055894070171627,1121.6012396738563,1.766819428188261,-0.3771602864129391,-0.3771526123422762,-0.30089125692131236
0.01,15,3015,324,901,0.09553459418475055,0.14285975081342744,-0.1321347756537068,0.05430754519787431,1122.41847781717,1.9404103647438962,-0.40529856964246774,-0.4051149791482296,-0.3346198864580495
0.01,16,3016,324,901,0.08666700494858585,0.048320116997446025,-0.04806723163954274,0.004937099265501316,1123.6650830971626,1.7508144682540994,-0.3783782245639594,-0.3783894314741876,-0.3031741863508022
0.01,17,3017,324,901,0.08971994422458056,0.07822911122448836,-0.07109254986072644,0.032644190865657785,1122.0713256057459,1.8042817434163883,-0.40417074360786776,-0.4041930761804988,-0.3322214975128262
0.01,18,3018,324,901,0.08860150243147323,0.13630063579952842,-0.05808009681719861,0.12330679491844934,1122.4811528940522,1.8125238850555638,-0.4200825297579865,-0.41996838720526697,-0.33616249273768356
0.01,19,3019,324,901,0.08414346966085676,0.05588087952034637,0.010294065320718637,-0.054924538369841985,1122.7050638891124,1.7078990784948629,-0.38032619972572124,-0.3803421965781017,-0.30928773479600985
0.01,20,3020,324,901,0.0910010878542689,0.19498454710746208,0.19427992733509614,-0.016561504924730297,1122.383563372102,1.8684588214783908,-0.4167274867454784,-0.41693301484940837,-0.333980632564827
0.01,21,3021,324,901,0.08297711074786217,0.09974379399903083,-0.03050426191521005,0.09496480635650958,1123.165706257194,1.7031308491702453,-0.4106005944293338,-0.4105846125708286,-0.3285002501939102
0.01,22,3022,324,901,0.08821038345573008,0.09733835925841616,-0.07683708781088638,0.059756322844219806,1122.6618654590775,1.8018986345391996,-0.4207920290292421,-0.42077586865857314,-0.3337677536811736
0.01,23,3023,324,901,0.09450411794089944,0.11351327379694345,0.07271066238112933,-0.087168933136739,1121.5826718626854,1.896965320368974,-0.42087506393677615,-0.42095856569499324,-0.3404929379618428
0.01,24,3024,324,901,0.08806410200823486,0.12311188233628545,0.10942164993227754,-0.056421964681154985,1123.122347915782,1.805331021631499,-0.42479528407765815,-0.4247102650758647,-0.34031565983993073
0.01,25,3025,324,901,0.08786981170951208,0.18964052566121495,-0.18891682651408548,0.016551786396303503,1122.7477009869172,1.7839351034736244,-0.4005655627396839,-0.40058620974633546,-0.32856302930688486
0.01,26,3026,324,901,0.08940017675135481,0.14809866877963637,-0.07919838570718474,0.12514324350789552,1122.6111788287787,1.8477225856273287,-0.41174451180089056,-0.4117094470132544,-0.3252137133924821
0.01,27,3027,324,901,0.08768583988476339,0.1710275783954377,0.13788367402409207,0.10118559684770115,1122.0974722534302,1.7742412773120566,-0.39070020376291786,-0.3904185202012992,-0.3223408020603144
0.01,28,3028,324,901,0.09098196133915956,0.23688492129019617,-0.004152467817275074,0.23684852320774333,1121.536059758944,1.8276956574937997,-0.4167470927558195,-0.4167368843186043,-0.33772741745610896
0.01,29,3029,324,901,0.0901909072900376,0.05899758197261333,0.05537367739247312,-0.020358549325763392,1122.9795447084339,1.8182405924635632,-0.41205780622049454,-0.4120464216104366,-0.3327956616109871
0.01,30,3030,324,901,0.09210776558540112,0.18509626646535035,-0.08746114155783635,0.1631293246991849,1122.190967615035,1.8897520222951234,-0.4140500227316222,-0.4141051966167693,-0.3291230392379797
0.01,31,3031,324,901,0.08623751490000407,0.03741793485789784,0.03704173312305725,-0.005292622815777609,1123.0520437280122,1.7578243301005099,-0.39973379752268173,-0.39970821866530665,-0.3178578813090774
0.01,32,3032,324,901,0.0895612612155754,0.07962701686766398,0.009631517006192691,-0.07904236645877111,1122.3907153165467,1.8226159326663722,-0.4157424739546482,-0.4157326924396725,-0.33148901492434235
0.01,33,3033,324,901,0.08641853767006868,0.0649611733329413,0.06412091711805079,0.010414510489336726,1121.3281603866728,1.777164648646729,-0.41632727546623954,-0.4162787139055711,-0.32753751406166426
