beta,condition,realization,min_area,min_turn,min_edge,relative_force_residual,crossings,tensor_check_error,boundary_virial_error,initial_energy,relaxed_energy,max_displacement
0.0,coherent,0,3.4641016151375332,1.154700538379176,1.1547005383792126,2.754467078037453e-14,0,1.3322676295501878e-15,3.028617356903851e-10,5417.854926075448,5417.854926075448,6.32028818138399e-13
0.1,coherent,0,3.355188286314351,1.0427613862782763,1.1133928991321134,2.8721781960123584e-14,0,1.3322676295501878e-15,2.014166611274959e-11,5418.8090605057205,5417.433716554722,0.2681104857783937
0.1,permuted,0,3.1472515267671692,0.9694774526192098,1.0624725027960085,3.819190661607382e-14,0,1.3322676295501878e-15,1.3642420526593924e-11,5418.809060505721,5417.442979720126,0.18782431136886388
0.1,permuted,1,3.1722453791332192,0.9922518763236694,1.0571128297879275,2.009902140884748e-14,0,1.3322676295501878e-15,1.9099388737231493e-11,5418.8090605057205,5417.624660313235,0.17430202268411807
0.1,permuted,2,3.1227029232523167,0.9890027130292758,1.05120395227651,2.135107210163343e-14,0,1.3322676295501878e-15,1.2732925824820995e-11,5418.8090605057205,5417.531972458695,0.1343477874883719
0.1,permuted,3,3.146525408298754,0.98513223317294,1.051146122680064,2.3693989047925022e-14,0,1.3322676295501878e-15,5.3660187404602766e-11,5418.8090605057205,5417.59915303659,0.13196274044553988
0.1,permuted,4,3.1526995637208914,0.9873885442905763,1.0682179989202332,2.902846734602885e-14,0,1.3322676295501878e-15,2.4556356947869062e-11,5418.8090605057205,5417.498940500924,0.16111524636946722
0.1,permuted,5,3.150207093457178,1.004467482721882,1.0725786882484043,1.9279021845527252e-14,0,1.3322676295501878e-15,3.001332515850663e-11,5418.8090605057205,5417.509822003162,0.1541880627342994
0.1,permuted,6,3.1189598546114112,0.9880150055291171,1.0601283488309747,2.2738675182703472e-14,0,1.3322676295501878e-15,4.4565240386873484e-11,5418.8090605057205,5417.5262134880595,0.20017893496232517
0.1,permuted,7,3.0954864959173025,0.9863011770162544,1.0616930221721985,1.615936522006674e-14,0,1.3322676295501878e-15,3.3651303965598345e-11,5418.8090605057205,5417.581591691575,0.12777245979270463
0.1,permuted,8,3.1507508068004944,0.9856097761849651,1.0669282706843413,2.5625730988728067e-14,0,1.3322676295501878e-15,3.8198777474462986e-11,5418.809060505721,5417.527877164222,0.2049274729540564
0.1,permuted,9,3.0975776263867605,0.9874978048142626,1.0597058009578977,3.199839426587042e-14,0,1.7763568394002505e-15,3.2741809263825417e-11,5418.8090605057205,5417.424397203744,0.18474077763828353
0.1,permuted,10,3.1593760250514897,0.9977816866976301,1.0567703397118704,2.723874781107016e-14,0,1.7763568394002505e-15,2.3646862246096134e-11,5418.8090605057205,5417.541540149637,0.19126144096580436
0.1,permuted,11,3.170465658700172,0.9878638263877078,1.0606188222755621,2.1384842544936185e-14,0,1.3322676295501878e-15,2.4556356947869062e-11,5418.8090605057205,5417.539490305233,0.17798377539487859
0.1,permuted,12,3.095793601150991,0.9920062366844651,1.0651165709719308,2.2344519712850708e-14,0,1.3322676295501878e-15,1.779687508474126e-11,5418.8090605057205,5417.535107159656,0.14711210160908728
0.1,permuted,13,3.1549503490642152,0.9977416735877935,1.0625571759918422,2.1611654453247415e-14,0,1.3322676295501878e-15,2.3646862246096134e-11,5418.8090605057205,5417.572565945466,0.15894939002245861
0.1,permuted,14,3.132816987179126,0.9950614534981606,1.0703312103326537,2.605573096448887e-14,0,1.7763568394002505e-15,3.728928277269006e-11,5418.809060505721,5417.4727146514015,0.15906329909998168
0.1,permuted,15,3.1502982245878437,0.9800613130272526,1.0595698243373326,2.8433398769183753e-14,0,1.3322676295501878e-15,1.1043388425946432e-11,5418.8090605057205,5417.586280747795,0.15742143335317976
0.1,permuted,16,3.1279970557140966,1.0014526491046056,1.064665726957793,3.089197253939085e-14,0,1.3322676295501878e-15,3.447497842756775e-11,5418.8090605057205,5417.486451025086,0.17853101722626286
0.1,permuted,17,3.0844584996660407,0.9990769133263887,1.0617787240469214,2.843957915061166e-14,0,1.3322676295501878e-15,4.547473508864641e-11,5418.8090605057205,5417.562496603403,0.20977624945270465
0.1,permuted,18,3.1349141227297985,0.9932705075767055,1.0663972147699121,2.1187232483073265e-14,0,1.3322676295501878e-15,2.546585164964199e-11,5418.8090605057205,5417.611235869483,0.15481729114427425
0.1,permuted,19,3.087951239687802,0.9763871952160265,1.0379024646956305,2.3803115531960697e-14,0,1.7763568394002505e-15,3.2138014471883025e-11,5418.8090605057205,5417.481838041699,0.16551086586427569
0.1,permuted,20,3.1807502747690393,0.9885444371352585,1.069439924355806,2.84470041782753e-14,0,1.3322676295501878e-15,1.8151924408016384e-11,5418.809060505721,5417.520988020095,0.1483542334562813
0.1,permuted,21,3.1312462614714134,0.9920993796251223,1.0623525665497129,2.0559072761135098e-14,0,1.3322676295501878e-15,6.912159733474255e-11,5418.8090605057205,5417.514181003528,0.16570030828313742
0.1,permuted,22,3.107464492592912,0.9676447999717495,1.0516372503007672,3.1988549431376066e-14,0,1.3322676295501878e-15,2.7284841053187847e-11,5418.8090605057205,5417.5228933569815,0.1610247860838803
0.1,permuted,23,3.123885974041084,0.9833017564665218,1.044844918541804,2.4879839773645086e-14,0,1.3322676295501878e-15,4.092726157978177e-11,5418.8090605057205,5417.5016631252365,0.1685075562800406
0.1,permuted,24,3.1599528174811784,0.9887395334726785,1.0603475787875265,2.1420743919672503e-14,0,1.3322676295501878e-15,3.094413614235236e-11,5418.8090605057205,5417.5553736554775,0.14674214830182383
0.1,permuted,25,3.250183668665888,0.9914596576250184,1.0608528570982085,2.851206194686631e-14,0,1.3322676295501878e-15,2.3646862246096134e-11,5418.809060505721,5417.603142183838,0.1454992662327534
0.1,permuted,26,3.0934731332228553,0.994868975236462,1.05886062192106,1.9031731047175377e-14,0,1.3322676295501878e-15,2.1827872842550278e-11,5418.809060505721,5417.462932227372,0.15369444252420655
0.1,permuted,27,3.159112705455847,0.9952002733039121,1.0609398452624421,2.398044375177007e-14,0,1.3322676295501878e-15,3.8198777474462986e-11,5418.809060505721,5417.507233341119,0.18579696571417673
0.1,permuted,28,3.175955753280886,0.9965526907272125,1.0554718235483023,1.8986973777269205e-14,0,1.7763568394002505e-15,4.092726157978177e-11,5418.8090605057205,5417.520908437975,0.16178054018023738
0.1,permuted,29,3.145433827708481,0.9860668097382688,1.058180145717008,2.023314599391875e-14,0,1.3322676295501878e-15,2.7284841053187847e-11,5418.8090605057205,5417.489760369481,0.14423862495910908
0.1,permuted,30,3.0957645525049933,0.9876052205756317,1.0689650485004372,3.197849440429133e-14,0,1.3322676295501878e-15,4.7406523151494184e-12,5418.8090605057205,5417.487069167675,0.16535356132283754
0.1,permuted,31,3.1924081276907,0.98846669137201,1.0598061549439612,3.5538722297440354e-14,0,1.3322676295501878e-15,4.274625098332763e-11,5418.8090605057205,5417.549990886984,0.16737162834550162
0.1,permuted,32,3.182499151327104,0.9897063984945376,1.056515723980267,3.324312283001188e-14,0,1.7763568394002505e-15,5.729816621169448e-11,5418.8090605057205,5417.521245309645,0.14887371943503255
0.1,permuted,33,3.1307316648070573,1.0043031757196277,1.0560081235793697,2.1483355727665622e-14,0,1.7763568394002505e-15,1.9099388737231493e-11,5418.8090605057205,5417.515004901077,0.16233076563751447
0.1,permuted,34,3.1240783025092997,0.9776439637744421,1.0605693039111181,2.234477291026039e-14,0,1.3322676295501878e-15,1.3642420526593924e-11,5418.8090605057205,5417.511318541867,0.16779275302231977
0.1,permuted,35,3.18410168991314,0.9933958840825544,1.0631611023304492,2.1451575278775804e-14,0,1.3322676295501878e-15,6.093614501878619e-11,5418.8090605057205,5417.545953636908,0.15459119718719785
0.1,permuted,36,3.1488160438260318,0.9833462983661296,1.05700223144979,2.3702648424419485e-14,0,1.3322676295501878e-15,5.547917680814862e-11,5418.8090605057205,5417.5424060131745,0.17706361146260183
0.1,permuted,37,3.1822715470394813,0.9858973911058524,1.042093302775413,2.0133247865217284e-14,0,1.3322676295501878e-15,3.728928277269006e-11,5418.8090605057205,5417.549269532214,0.12875913805860567
0.1,permuted,38,3.1983630896356536,0.9887892933651933,1.0484116112128579,3.318130592772852e-14,0,1.7763568394002505e-15,3.3651303965598345e-11,5418.8090605057205,5417.5142920839535,0.16858731441569946
0.1,permuted,39,3.0934695392124425,0.9902155142687341,1.063509505239629,2.137277867925044e-14,0,1.7763568394002505e-15,5.002220859751105e-11,5418.8090605057205,5417.473572054916,0.16160556502239443
0.25,coherent,0,3.1875404494672637,0.8882299686090978,1.054033415681511,2.6955425024217288e-14,0,1.3322676295501878e-15,4.638422979041934e-11,5423.696709245829,5415.327482518287,0.7049146616905767
0.25,permuted,0,2.6690319985965796,0.7942406085253225,0.9355989321886967,3.322227436027195e-14,0,1.3322676295501878e-15,2.1827872842550278e-11,5423.696709245828,5415.876307505448,0.36895622064019457
0.25,permuted,1,2.5560750595404285,0.7996948372414477,0.9066109834171263,2.6401308960786625e-14,0,1.3322676295501878e-15,1.9099388737231493e-11,5423.696709245829,5415.796550906409,0.3871151712804645
0.25,permuted,2,2.758290447403942,0.7763763817774438,0.9357772056705618,1.9434834257313546e-14,0,1.3322676295501878e-15,4.3655745685100555e-11,5423.696709245828,5415.760990772233,0.39794558445244016
