beta,analytic_gap,analytic_normalized_gap,analytic_sigma_xx,analytic_sigma_yy,sublattice_shift_x,sublattice_shift_y,n,area,regional_gap,local_mean_gap,coherence,normalized_gap,Dxx,Dxy2,major_axis_degrees
0.0,7.557131904205646e-16,3.778565952102822e-16,0.9999999999999999,1.0000000000000004,1.2819751242557092e-16,1.2819751242557092e-16,127,439.94090512246936,3.836145009872235e-15,8.000284225285788e-15,nan,1.9180725049361176e-15,-2.8021755471921692e-15,-2.619889451768131e-15,0.0
0.1,0.1023758311206987,0.05118365806192256,1.051271096376024,0.9488952652553252,2.557658739835242e-16,0.05622404521517053,127,439.9717627832353,0.10223552484275793,0.10223571017172349,0.9999981872384389,0.05111369364459658,0.10223552484275793,6.2901105792620655e-15,1.7625810080038694e-12
0.25,0.2637212694532418,0.13169104058930925,1.1331484530668263,0.8694271836135845,2.946974706789338e-16,0.13436857765438778,127,440.1377892368727,0.2628251893382521,0.26282562254729375,0.9999983517244724,0.13125129023148652,0.2628251893382521,-3.1847572813296497e-15,-3.471378665286661e-13
0.5,0.5480536502356385,0.27131406657892193,1.2840254166877414,0.7359717664521029,6.461198754150872e-16,0.24642730461686196,127,440.73659479131845,0.5444040712567012,0.5444048088250145,0.9999986451840591,0.2696390494022346,0.5444040712567012,5.981642292783179e-16,3.1476882340564835e-14
0.75,0.8453950650041084,0.409474026558742,1.4549914146182015,0.609596349614093,8.338420886944881e-16,0.33545838377319975,127,441.6978685549354,0.8371723306110711,0.8371732424541881,0.9999989108071414,0.4061507796052281,0.8371723306110711,-7.132760205740819e-15,-2.440817984091227e-13
