eps,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,4,0,4000,64,161,0.09237021121872446,0.10851655805216734,-0.10594151871638946,-0.02349974432955191,221.52114254142376,0.8276090579580033,-0.43671970529641024,-0.436378368292882,-0.3414415082587341
0.0,6,0,4000,144,385,0.08856467618004962,0.05062018298250993,-0.049720434795673896,0.009501646642131462,498.7559751549575,1.1877248560864038,-0.4335249379254291,-0.43335632025314563,-0.34641426293421423
0.0,8,0,4000,256,705,0.0843338806994036,0.1753950117208993,-0.00026462157732254354,-0.17539481210114288,886.6354560293894,1.5327353642553794,-0.42730582208438694,-0.42699552906006405,-0.3329816697400703
0.0,10,0,4000,400,1121,0.08469846208527894,0.020349495433993448,0.004795346054731642,0.019776415768118595,1385.7446534987723,1.930926624360996,-0.4325274423032692,-0.43254947202082183,-0.33914145978110494
0.0,12,0,4000,576,1633,0.08635982418073465,0.14944899177127927,0.029169223614498918,-0.14657475067411596,1995.1523897760158,2.3566446787419357,-0.418736739690228,-0.4186749745898797,-0.3331620026682426
0.0,4,1,4001,64,161,0.09039609422495953,0.10817446040604944,-0.07172953306997387,-0.0809727606649513,221.31313297097455,0.8040456542953247,-0.39069011509875523,-0.3906338068773945,-0.31735860389211995
0.0,6,1,4001,144,385,0.09370642242005178,0.04432392700822748,0.01802463832957324,-0.04049349229837748,499.21711738292464,1.2535410335847315,-0.41219103741145763,-0.4121100244215206,-0.3404590376098648
0.0,8,1,4001,256,705,0.09292630152811582,0.08061118215331196,-0.004286300449778846,-0.08049714477302078,887.3440954436071,1.657590541190879,-0.4207933193991718,-0.42076253205185404,-0.34289889933351314
0.0,10,1,4001,400,1121,0.09189301827004787,0.044902216517472525,0.01866649704326573,-0.04083835129281953,1385.7547097716913,2.051138354786123,-0.41502357419130886,-0.41499989978405066,-0.3369979674200217
0.0,12,1,4001,576,1633,0.09074915043946036,0.1656993981602965,0.10799747288859995,0.12566955239977817,1995.094071576271,2.4416290207080027,-0.41757680688461857,-0.4175579989620704,-0.3394940530611237
0.0,4,2,4002,64,161,0.08519042298660863,0.04472301061006204,0.04414287478388479,-0.007180131185569719,221.60073106431045,0.7769518037518167,-0.4057145080896067,-0.405307101447151,-0.3135907985797495
0.0,6,2,4002,144,385,0.08731102213580333,0.2580128918085977,-0.24290909598641397,0.08698174191460109,498.37300241578527,1.1860009424121714,-0.38222151858577563,-0.3816342905149902,-0.3060672732910767
0.0,8,2,4002,256,705,0.09535783325849387,0.18148306442876025,-0.1133465225334529,0.14173450004860144,887.5554120032594,1.736222714957932,-0.42640041232017833,-0.4262510740481833,-0.3389931858983315
0.0,10,2,4002,400,1121,0.09155112743734026,0.04705480747439406,0.04421867793015899,0.01608923331178841,1385.8894095337278,2.088337333742855,-0.43650449855007917,-0.4365360086848274,-0.3457915404319929
0.0,12,2,4002,576,1633,0.08911668575307832,0.27779504889244616,-0.27162666021763204,-0.05821551896334545,1995.6940566443784,2.43726316310888,-0.4279711173900081,-0.42779090405837905,-0.3408746601911467
0.0,4,3,4003,64,161,0.0861357257247388,0.1472432219848975,-0.13552809063898552,-0.05755608628324835,221.56973341606152,0.7889891312247803,-0.43818414356599,-0.43826863686397705,-0.32791833579371427
0.0,6,3,4003,144,385,0.08906724788972056,0.10094595615362226,-0.09912895160225643,0.019066646742585083,499.1920983288587,1.2227916382162083,-0.42505279331112406,-0.42549794488959336,-0.3274107436315541
0.0,8,3,4003,256,705,0.09139059509809813,0.10120528746930399,0.0888025160006447,-0.04854506528680026,886.1261782591182,1.6343087837262253,-0.4256458114125645,-0.4254263630895855,-0.34018914149142215
0.0,10,3,4003,400,1121,0.09152489125380749,0.0520589579760908,-0.04860083250045344,0.018657282380326906,1386.398430001222,2.0444424599694075,-0.4154503126101574,-0.41549099296121894,-0.3370582960100569
0.0,12,3,4003,576,1633,0.08860663917957035,0.1257547771582471,0.12569577407037924,0.003851799445527271,1996.0558832053716,2.3911400020418636,-0.41591239317694223,-0.41586246046107755,-0.3360180238198227
0.0,4,4,4004,64,161,0.08119650864708897,0.018364991787167304,0.013463181045654249,-0.012490623662358043,221.97039240204546,0.7288167130410325,-0.4007021661603997,-0.40085869559489035,-0.3198835295373266
0.0,6,4,4004,144,385,0.08400983811815507,0.18327025309260578,-0.17307901328759678,-0.06026309673440017,499.2421147872232,1.1326613637157976,-0.4085631353843869,-0.40867667970729443,-0.33123298314072813
0.0,8,4,4004,256,705,0.08457741989130423,0.04439015691548551,0.014633043894998199,-0.04190894960922406,887.3857704263006,1.517876085628375,-0.40911026033918046,-0.40915769355292364,-0.33160990236417726
0.0,10,4,4004,400,1121,0.08297807592622916,0.12308509446453988,-0.09959350091142927,0.07232617130437533,1384.7881440784972,1.864825224440389,-0.4029017405834694,-0.40285696424143086,-0.3272981138479318
0.0,12,4,4004,576,1633,0.08261018050699158,0.06292574575094605,-0.03461331916598542,-0.052550619545599364,1995.70459984924,2.2340998507283847,-0.3993207737370056,-0.39937188581233507,-0.3240499333143947
0.0,4,5,4005,64,161,0.09526639345453039,0.07974759484909401,0.0693332011173573,-0.0394028692741446,221.46777800707713,0.8358438316069627,-0.396098134507412,-0.39705951650304994,-0.3227150165441927
0.0,6,5,4005,144,385,0.08981693644101868,0.2641237553112533,-0.09667455515810719,-0.2457954200238501,498.99675936865754,1.1880805961436711,-0.3826295299460726,-0.38275194948781555,-0.3175714780588251
0.0,8,5,4005,256,705,0.08906744469413078,0.15139863550840152,-0.14509734686059916,-0.04322391430470854,886.8351146057622,1.5955610216238791,-0.40981660676729453,-0.4098469521172969,-0.32773849869329347
0.0,10,5,4005,400,1121,0.08860566384664356,0.1568576423864834,0.12730808538094118,-0.0916349898875146,1386.0911637715506,2.0025281454139745,-0.40982716838483374,-0.40984182008076714,-0.3267569073771349
0.0,12,5,4005,576,1633,0.08893222806748045,0.1505564558883582,0.012259353337480405,-0.15005650490868416,1994.81569930551,2.4131773146142375,-0.40976217896023664,-0.4097626852372812,-0.3270102502220821
0.0,4,6,4006,64,161,0.08469517323803788,0.12592730868231086,-0.02284547137585502,0.12383768210680056,221.67011407666797,0.7735783604022809,-0.4039169502737681,-0.4041869716819264,-0.32280492051257953
0.0,6,6,4006,144,385,0.0890425426251491,0.11860734364994445,-0.01882795496221501,0.11710341617406736,498.47240322808534,1.2000277476907424,-0.4162035079784546,-0.4163632631690266,-0.34155172575754766
0.0,8,6,4006,256,705,0.08696301296139512,0.04704235551158758,0.040611660774758196,0.02374186642188353,887.2099607697261,1.5631005725221594,-0.3968172016622658,-0.39677434574504933,-0.3222795910955139
0.0,10,6,4006,400,1121,0.09188543014183413,0.14013894491266188,-0.13319631851453417,-0.043562192500020525,1385.7186536483243,2.064151966621183,-0.40461541610841956,-0.40461655205782604,-0.33109479850857987
0.0,12,6,4006,576,1633,0.09167408776432222,0.0685890445068995,-0.06549614822278338,0.02036446891889472,1994.8971288084106,2.4714831874315424,-0.4088992615546464,-0.40886721736245546,-0.3310816236346695
0.0,4,7,4007,64,161,0.09633935940763316,0.1446557067178077,0.054686078102376356,0.133920522504242,220.54043499278782,0.853688401743887,-0.3812689072033037,-0.3822731873117777,-0.32398859883637854
0.0,6,7,4007,144,385,0.0924994439437262,0.0881858434625515,-0.017602398759569482,0.08641121770413111,498.52176215893894,1.2334446586483292,-0.412002652174318,-0.4124692970774434,-0.3411740835789924
0.0,8,7,4007,256,705,0.09280548811283647,0.21656429963815643,-0.1822071241577703,-0.11704981753048604,886.9073722967473,1.6679398485176822,-0.4176266186095826,-0.4170680187719483,-0.33648314118416583
0.0,10,7,4007,400,1121,0.09347988433145744,0.13703768754174853,0.08972828831557855,0.10357684144028678,1386.400727141635,2.089466994681681,-0.4202436574333001,-0.42045021440773667,-0.34328878736634344
0.0,12,7,4007,576,1633,0.09358138837475077,0.06449300168549114,0.002235005902223808,0.06445426297012315,1995.1795350896905,2.526875740488988,-0.41651099364737965,-0.4165682158005514,-0.338322988504723
0.0,4,8,4008,64,161,0.09998647569303763,0.2427090461543139,0.04720350745566204,-0.23807458908716012,221.38179744806314,0.8592010542867986,-0.3821336124204568,-0.3831879368755253,-0.33331033871390897
0.0,6,8,4008,144,385,0.08974385178033499,0.029715989267086806,-0.029702735943006875,0.0008874095005271185,499.09580882566684,1.1856812090652937,-0.37013399832276644,-0.37009536493958695,-0.31560177561836583
0.0,8,8,4008,256,705,0.09211749195037743,0.05290658344564676,0.04849901718987937,0.021141237038238073,886.535630069461,1.6410139934153147,-0.37125709454596345,-0.3712437385393977,-0.31054487944353104
0.0,10,8,4008,400,1121,0.0916189092494396,0.03745389681762598,-0.014643308490169815,0.034472712444585704,1387.0596476050098,2.059936803164971,-0.3905039800136336,-0.3904856778608421,-0.3199308624773127
0.0,12,8,4008,576,1633,0.09330046100412732,0.15390024905405691,-0.08063194961257558,-0.131086900034198,1995.6182789242812,2.5195831151352595,-0.4071568609499679,-0.4071802659758634,-0.33065226807098336
0.0,4,9,4009,64,161,0.0861577830267424,0.10476257938254023,-0.10363707156006585,0.015315202817358764,221.78589613591646,0.7642402422835074,-0.40342454290699614,-0.4034345930876517,-0.3312343227120553
0.0,6,9,4009,144,385,0.08643369184280686,0.021552996303739684,0.013703494827885354,-0.016635680904944522,498.6601294022566,1.1556701987726143,-0.4182159893118837,-0.4182552473094356,-0.3359987675144036
0.0,8,9,4009,256,705,0.08660067979837416,0.07544401609873858,0.05563181334026712,-0.05095979699312392,886.9545088860901,1.5596037930468314,-0.4142265437324637,-0.4143138836144707,-0.3290249138339771
0.0,10,9,4009,400,1121,0.08759779934156034,0.17733422213193142,-0.12844686949975914,0.12226540007233871,1386.2150739934216,1.9685698219968557,-0.40086121641266037,-0.4008737170516775,-0.32454865358214796
0.0,12,9,4009,576,1633,0.08856842234803547,0.15809038216479104,-0.013197297098391125,0.1575385676026873,1995.1776736778531,2.375451374481758,-0.3905777580182403,-0.39058616678450614,-0.31985861408795685
0.0,4,10,4010,64,161,0.0842564408689293,0.1736805605521218,-0.017626918339510134,-0.1727837633099577,221.49297967503014,0.7542934890458723,-0.393889968735993,-0.3922364982180003,-0.32019684731972176
0.0,6,10,4010,144,385,0.08761427391006509,0.23195919954316005,0.02518076620364651,-0.23058837625973438,498.40610991624084,1.1782611861941743,-0.38835972396464247,-0.38791088259629264,-0.3170355382498245
0.0,8,10,4010,256,705,0.0890663322220289,0.16518507222803705,-0.15227660531627318,-0.06401518226431745,886.3931223953762,1.6085488584694327,-0.40248826439505275,-0.4024262589251333,-0.3244769899492181
0.0,10,10,4010,400,1121,0.08978221476854234,0.19758497325626972,-0.14994303783647522,-0.12867364555747296,1385.0786947052416,2.0177272807136215,-0.39565997158374433,-0.39568719294691984,-0.3205575320674014
0.0,12,10,4010,576,1633,0.08892777353328446,0.046540660311911924,0.043783757354481256,0.015780229852339997,1994.854902276131,2.3986114975392367,-0.3979364021848532,-0.39793732664420284,-0.3219522910815178
0.0,4,11,4011,64,161,0.07432952338792162,0.011458479700433403,-0.0011092477396670297,-0.011404662489407039,222.29732762462197,0.691519409514905,-0.3750566438407308,-0.37512344814209597,-0.29790545637223015
0.0,6,11,4011,144,385,0.08833149061124011,0.11132251587160241,-0.10232854940545266,0.0438357219235523,497.7347613199637,1.209183566038387,-0.3781620807719524,-0.37818208854786767,-0.30312805282963445
0.0,8,11,4011,256,705,0.09385552390403798,0.12434852917244256,0.025554309689132637,-0.12169442864676139,886.8567716561355,1.7059032014641444,-0.40898814484509416,-0.40906786195091016,-0.32972935699754846
0.0,10,11,4011,400,1121,0.09198454859328717,0.16709790120712986,-0.16248218800267766,0.03900316871345515,1385.5494760374977,2.0928159064428162,-0.4171271707816781,-0.4170693051085038,-0.33477063745330876
0.0,12,11,4011,576,1633,0.0897556265048447,0.030867197561833464,-0.030111812825111883,-0.006786944357123112,1994.9010177916207,2.4439111478273747,-0.40542295993177513,-0.4054196891489226,-0.32763565673282513
0.0,4,12,4012,64,161,0.08257495108358551,0.1545427441623215,0.12712224593084676,-0.08788284453019297,221.72728489220503,0.7695238493073242,-0.48103340454121757,-0.4818792198335646,-0.3775673836197859
0.0,6,12,4012,144,385,0.08004479873273057,0.04583041751417172,0.01821620198581364,-0.04205469242231284,498.8423198571269,1.1023560990800745,-0.41660338518615103,-0.4166978441387948,-0.32615630441660115
0.0,8,12,4012,256,705,0.08291453824459716,0.20235719055144966,0.14893190794529243,-0.13699532606498166,886.3064602949531,1.5064199180214008,-0.4123499676378974,-0.41249229397805687,-0.3304725153906624
0.0,10,12,4012,400,1121,0.08515732516770204,0.12249906649547194,-0.12190871980319518,-0.012011882791973336,1385.6248646524923,1.9335559243406895,-0.4156047207712277,-0.4156899574401606,-0.33064293597737
0.0,12,12,4012,576,1633,0.0874691834079885,0.06251812699476215,-0.01613400971084733,-0.06040041335606481,1994.1102669082102,2.375870143770892,-0.41100694222629514,-0.41104273812293485,-0.3305976956010779
0.0,4,13,4013,64,161,0.10250515815803998,0.14817249937816485,0.14073605220483287,-0.04635140970640288,221.29356247169127,0.9383445932774566,-0.3995781324526728,-0.3992837881136308,-0.31485668978492537
0.0,6,13,4013,144,385,0.09570170709780884,0.12433834696575173,-0.017537444556185555,-0.12309533932937665,498.2645029669569,1.3008755444110636,-0.4050739197400885,-0.404773547684725,-0.32490860301964797
