condition,realization,radius_low,radius_high,n,area,regional_gap,local_mean_gap,coherence,normalized_gap,Dxx,Dxy2,major_axis_degrees
permuted,10,18.0,21.0,96,332.123573876352,0.002513488565704409,0.026373200548894873,0.09530464689124478,0.0012566168837541102,0.0019117688237033034,0.0016317980066916662,20.241274036684334
permuted,10,21.0,24.0,120,415.1533001220581,0.002098660785585539,0.016366916062806165,0.1282257926619877,0.0010492868293609052,0.001892169564570166,0.0009077838023829571,12.814871692898446
permuted,10,24.0,27.0,144,498.2068651025453,0.0024181699059314774,0.010880134675395569,0.22225551227779816,0.0012090630670776566,0.0019065329984980996,0.0014875071830382854,18.980958874406603
permuted,10,27.0,30.0,162,560.4782415997947,0.0023327039984080396,0.007785622938937464,0.2996168728826718,0.0011663409304283464,0.0019112692866208507,0.001337369678962657,17.49079024979642
permuted,10,30.0,33.0,180,622.7552990999061,0.002334166641979341,0.005929312699606642,0.39366563381522995,0.0011670766834436515,0.001912146594359897,0.0013386669915281247,17.497662839775845
permuted,10,33.0,36.0,162,560.4841542079573,0.002328038200191818,0.004863209669688743,0.47870405726118287,0.0011640144913250467,0.001903217857686625,0.0013407175868672318,17.581347899192394
permuted,11,0.0,3.0,7,24.564683614528377,0.05841525590868359,0.2546881249708931,0.22935995117699165,0.029634274550691085,0.03649759554720766,-0.04560995113075042,-25.666406266549018
permuted,11,3.0,6.0,30,107.09050599837768,0.0425380649305492,0.19129800416867407,0.22236544032650707,0.021738154350790306,-0.0385726836913779,0.017934186373530534,77.53207563224504
permuted,11,6.0,9.0,36,125.32413922333014,0.03134460200798634,0.22332769396019522,0.14035250824545317,0.015905118226010338,-0.022778965735246102,-0.021531437366593652,-68.30634826435431
permuted,11,9.0,12.0,54,189.52806872315895,0.008288027129400058,0.179153232551926,0.046262224863834626,0.004234830462425933,0.004300520402377092,-0.0070849783321058745,-29.371306173914604
permuted,11,12.0,15.0,72,250.3297452906844,0.034598850283403,0.10165434317535231,0.3403578165245776,0.01731161113339857,0.02460953835350008,0.0243197669183104,22.330342102042124
permuted,11,15.0,18.0,102,352.5886836551523,0.003687221393710283,0.0430421977074847,0.08566526780924814,0.0018423001943575533,0.002399490632172285,0.0027996511054687247,24.700593338171682
permuted,11,18.0,21.0,96,331.96681271235855,0.0039493542530326785,0.022902127139634725,0.17244486631976966,0.0019744408115707638,0.0015795198509236702,0.0036197397774543646,33.21266658535536
permuted,11,21.0,24.0,120,414.9735950826374,0.003826587310671813,0.01579226445050096,0.24230770214530106,0.001913222305806724,0.0015639180466140916,0.00349241045549765,32.93846867893522
permuted,11,24.0,27.0,144,498.01068854932987,0.003965166946869159,0.011605497608807176,0.3416628119297594,0.001982545448043712,0.0016494852063452623,0.0036057935978910122,32.70903909239288
permuted,11,27.0,30.0,162,560.2505560410283,0.0039407787708318045,0.009014008920713234,0.4371838108320832,0.0019703672815517986,0.0016225551513756632,0.0035912465943433803,32.84307539502676
permuted,11,30.0,33.0,180,622.5024075344945,0.0039379203012184436,0.007347980190846754,0.5359187421495556,0.0019689454127532627,0.0016194081826862731,0.0035895310886795645,32.85880012716977
