beta,condition,realization,region,n,area,regional_gap,local_mean_gap,coherence,normalized_gap,Dxx,Dxy2,major_axis_degrees
0.0,coherent,0,inner,37,128.17175976008906,1.9484801000165996e-15,4.1409540016527555e-15,nan,9.742400500083e-16,-1.8848499124193207e-15,-4.938780292881809e-16,0.0
0.0,coherent,0,domain,127,439.94090512246936,3.836145009872235e-15,8.000284225285788e-15,nan,1.9180725049361176e-15,-2.8021755471921692e-15,-2.619889451768131e-15,0.0
0.0,coherent,0,core,517,1790.9405350261434,2.9937510974718554e-15,2.355096575244147e-14,nan,1.4968755487359279e-15,-1.996112137380831e-15,-2.2311615738477723e-15,0.0
0.0,coherent,0,exterior,216,748.245948869733,9.404960723974766e-16,3.623598337520135e-14,nan,4.702480361987384e-16,-1.549053275142361e-16,-9.276514440795026e-16,0.0
0.1,coherent,0,inner,37,128.2340049810043,0.00935822256157341,0.009358227296359031,0.9999994940510131,0.004684797981213284,0.00935822256157341,-6.717934205755872e-16,-2.0565298298038496e-12
0.1,coherent,0,domain,127,440.1189343086326,0.00885878062613165,0.00887983856818358,0.9976285670183939,0.004433832839285764,0.00885878062613165,3.840792786226497e-16,1.242051394668999e-12
0.1,coherent,0,core,517,1791.1801525426756,0.009329532429130887,0.009347722171872134,0.9980540989123552,0.004665956705471848,0.009329532429130887,4.592458181008097e-16,1.4101910967182485e-12
0.1,coherent,0,exterior,216,748.2354156917578,0.009323413865600797,0.009336752948604761,0.9985713359797147,0.004661654004885558,0.009323413865600797,-6.836740491773058e-16,-2.100713222921747e-12
0.1,permuted,0,inner,37,128.17851589862306,0.014962739485030265,0.04624868441637608,0.3235278943357824,0.007499708907646499,0.0033219834982745867,-0.014589311105534596,-38.58623371141507
0.1,permuted,0,domain,127,440.5533192302891,0.0015248974598643895,0.03900144025738232,0.03909849097369557,0.0007633182713315963,0.000823112982491031,-0.0012836655643724292,-28.66558261430746
0.1,permuted,0,core,517,1791.2064147688798,0.00023005937022006995,0.014848090861920987,0.015494205440921296,0.0001150561748796918,-0.00010156689402618994,-0.0002064254825934238,-58.09921388267678
0.1,permuted,0,exterior,216,748.1779932185482,0.00022398034898466298,0.0029516734928685946,0.07588249497304218,0.00011198949537437752,-0.00010816448781248659,-0.00019613169123717326,-59.438128115209174
0.1,permuted,1,inner,37,127.19850008085572,0.009959631060527056,0.04587124678299827,0.21712143791606067,0.0049764358373024994,-0.009958958539273558,-0.000115739685698422,-89.6670787935089
0.1,permuted,1,domain,127,440.1786239434921,0.001137532746537609,0.0416857900586821,0.027288261657900124,0.0005689013232977827,0.000908131046364453,0.0006850392339672228,18.514348750830404
