eta,mean,cell_sd,mean_ci_low,mean_ci_high,realizations,cells_per_realization
0.0,1.6770762511039447e-15,1.2994994090052474e-15,1.6770762511039445e-15,1.6770762511039445e-15,40,400
0.02,0.0352529990425645,0.01873620364707601,0.034848485743930534,0.035688089219304275,40,400
0.05,0.08842234772546263,0.04705771974778906,0.0873982455936732,0.08951754873600076,40,400
0.1,0.17891143660795106,0.09582279534539169,0.17682175922486554,0.18119476961000336,40,400
0.15,0.27357259972072556,0.14872028555149758,0.27027250754775356,0.277143215417489,40,400
