patch_radius,patch_cells,boundary_min_radius,patch_area,n,area,regional_gap,local_mean_gap,coherence,normalized_gap,Dxx,Dxy2,major_axis_degrees,relative_force_residual,min_turn,crossings
14,631,24.846193538112296,2185.848119151923,127,441.61608325200814,0.12079493734779906,0.12112948502687165,0.9972380987255219,0.061708062601144205,0.12079493734779906,1.329670541647962e-15,3.153464534691052e-13,1.619673706194016e-14,0.6648946944472629,0
18,1027,31.770006819850277,3557.6323587464726,127,442.2607087820827,0.07495008389671048,0.07548070487446508,0.9929701109888006,0.03833314673922926,0.07495008389671048,-3.1859146183563954e-15,-1.2177402080857803e-12,1.712288104394718e-14,0.665876254080598,0
22,1519,38.695391629150535,5261.970353394248,127,442.63879918786273,0.05142901018356264,0.05220380138334368,0.9851583375300281,0.026313549186327376,0.05142901018356264,-8.594225285931478e-15,-4.787306184884229e-12,2.2050294896112483e-14,0.6664471687448968,0
28,2437,49.08496035786657,8442.015636090706,127,442.9572671708952,0.03301576897003387,0.034242163626870284,0.9641846622135161,0.016895890604268847,0.03301576897003387,1.290335822706415e-15,1.119628576010456e-12,3.051906440915445e-14,0.6669272052371548,0
36,3997,62.93912402737531,13846.014155705605,127,443.1725792444244,0.021171363958827114,0.02342954722554451,0.9036181431515088,0.010835401601579371,0.021171363958827114,-3.1796880944393595e-15,-4.3025737107365685e-12,4.485461191959537e-14,0.6672515153551912,0
48,7057,83.72176140844944,24446.165098027137,127,443.322571980135,0.013175170619761267,0.017011308223640657,0.7744948505166521,0.00674323110510504,0.013175170619761267,-8.716704027022825e-15,-1.8953468096420985e-11,6.645795086367517e-14,0.6674773789568436,0
