name,param,realization,seed,N,P,nb,sum_W_real,sum_W_imag,gap,area
label_box,3,0,2000,36,53.27792243421167,20,-0.09561719346171005,-0.008049299450030536,0.09595540061471448,124.26350556602648
label_box,4,0,2000,64,71.54461357959309,28,-0.04898559637932198,-0.03917871391592519,0.062726073340707,221.15364785547976
label_box,5,0,2000,100,89.89476811251076,36,0.05184888954590283,-0.04699094378589223,0.06997468217171204,346.61353539938847
label_box,6,0,2000,144,108.99930806112353,44,-0.11722789089243779,0.014681386285699857,0.11814364776135548,499.4791916580288
label_box,7,0,2000,196,127.33380596833894,52,-0.06358240302321017,0.08179683858201495,0.1036023396271442,678.8937121002282
label_box,8,0,2000,256,145.18998092894196,60,-0.1346454066930418,0.09338292890948402,0.1638589544554962,887.5206715124184
label_box,9,0,2000,324,164.53083464913885,68,0.01927765785952129,0.004945561828121919,0.019901926397827414,1123.3494175712854
label_box,10,0,2000,400,182.34832349805896,76,-0.05744966782891936,0.08759786097337997,0.10475614340345285,1385.685731702065
label_disk,3.5,0,2000,32,48.24975911425854,18,-0.06804995018026494,0.11685127323433125,0.1352220979574747,110.60437295242816
label_disk,4.5,0,2000,60,66.69088834197652,26,-0.0318524771526425,-0.08167818237972506,0.08766929780496273,207.62391096626746
label_disk,5.5,0,2000,88,81.30814983235618,32,0.3317281333356519,0.18501156836190924,0.3798326406117429,304.61890774629916
label_disk,6.5,0,2000,124,99.19074550963596,40,-0.20652420381156578,-0.17808424854700022,0.2727017534607193,429.8993612366091
label_disk,7.5,0,2000,172,113.63380742230581,46,0.06195225743666821,0.19747168732053402,0.20696171021403445,596.0846596479875
label_disk,8.5,0,2000,216,126.98609046935866,52,-0.49859809711024994,-0.23948403139561492,0.5531298796263479,748.7012441540115
label_disk,9.5,0,2000,276,145.60019593295922,60,0.43944132509802003,-0.331668530529755,0.5505567112910992,957.4926845245154
label_disk,10.5,0,2000,332,159.49767091935271,66,0.06573923711403973,0.23438405541499077,0.24342870153109186,1150.7540709878322
label_rotated_box,3.5,0,2000,48,62.233047445806974,24,-0.06907114037471196,-0.14050944189003287,0.15656859740353965,165.73166870489933
label_rotated_box,4.5,0,2000,84,89.8252935726953,36,0.24198868642814864,-0.20427732703714419,0.31668241299551386,290.9464138392485
label_rotated_box,5.5,0,2000,124,108.83087065972565,44,-0.3112297200663816,0.05244581472052666,0.3156176518103797,429.55847249649327
label_rotated_box,6.5,0,2000,164,122.22214894601362,50,0.11778058135982894,-0.06839250637356796,0.136197651497806,568.7191545694396
label_rotated_box,7.5,0,2000,224,150.37469506744125,62,-0.15807444116107439,-0.006226129065618702,0.15819700892092653,776.6416600892782
label_rotated_box,8.5,0,2000,288,168.93411742927424,70,-0.10252136384655008,0.48424285124307564,0.49497653381244267,997.8986548672726
label_rotated_box,9.5,0,2000,364,196.24288565786614,82,0.019390098759175967,-0.5599629193514185,0.5602985338000215,1261.516714072291
label_rotated_box,10.5,0,2000,444,209.6607592763282,88,-0.4419824084454511,0.28644035789324573,0.5266844672147188,1539.1289524588308
label_box,3,1,2001,36,52.97826102352593,20,-0.0384429723638009,-0.03997398765655387,0.05545973145743027,124.46413561612808
label_box,4,1,2001,64,71.54256744897502,28,0.056926618793871064,-0.028536866168900422,0.06367882425142951,221.3104124743329
label_box,5,1,2001,100,90.09966887484319,36,0.09197666319998898,0.043219597616079214,0.10162499786715869,345.5590708142047
label_box,6,1,2001,144,108.24381966472475,44,0.14474695847111763,-0.005048659634710448,0.14483497833999426,498.28104360437254
label_box,7,1,2001,196,127.16890820480683,52,-0.10295738417731659,0.09547274786696923,0.14041106986952787,679.064799462137
label_box,8,1,2001,256,145.70970686715998,60,-0.07604258524829799,0.044484784300370464,0.08809864247248736,887.0364836203249
label_box,9,1,2001,324,164.2244091557621,68,0.05715569952851185,0.013736436530845955,0.05878319213142043,1121.8880978952595
label_box,10,1,2001,400,182.4761799321878,76,-0.004900796904976801,0.037986506369302564,0.03830133778928478,1385.9118123555902
label_disk,3.5,1,2001,32,48.69878611420512,18,0.25270350329779045,0.060377920914171365,0.25981638499697113,110.75268939353155
label_disk,4.5,1,2001,60,66.8510378289658,26,-0.08654562361532392,-0.08667127331141362,0.1224828746575907,207.3787424429925
