epsilon,psi_radians,gap,quadratic,relative_excess
0.0,0.5235987755982988,2.7755575615628914e-16,0.0,0.0
0.0025,0.5235987755982988,3.608454217710665e-06,3.6084391824351616e-06,4.166697772367556e-06
0.005,0.5235987755982988,1.4433997298056857e-05,1.4433756729740646e-05,1.666706185465827e-05
0.0075,0.5235987755982988,3.2477170558704896e-05,3.247595264191645e-05,3.750211123509928e-05
0.01,0.5235987755982988,5.773887630554662e-05,5.7735026918962585e-05,6.667333141519016e-05
0.0125,0.5235987755982988,9.02203780064688e-05,9.021097956087904e-05,0.00010418294575131881
0.015,0.5235987755982988,0.00012992330052459484,0.0001299038105676658,0.00015003375839306443
0.0175,0.5235987755982988,0.000176849630425829,0.00017681351993932294,0.00020422921572094133
0.02,0.5235987755982988,0.00023100171635011813,0.00023094010767585034,0.0002667733850469922
0.0225,0.5235987755982988,0.0002923822694536545,0.00029228357377724805,0.0003376709649842713
0.025,0.5235987755982988,0.0003609943639175281,0.0003608439182435162,0.0004169272818681513
0.0275,0.5235987755982988,0.00043684143752704545,0.0004366211410746545,0.0005045482952308333
0.03,0.5235987755982988,0.0005199272923172235,0.0005196152422706632,0.0006005405946072351
0.0325,0.5235987755982988,0.0006102560952899713,0.0006098262218315423,0.0007049114043307103
0.035,0.5235987755982988,0.0007078323791989025,0.0007072540797572917,0.0008176685835579178
0.0375,0.5235987755982988,0.0008126610434052388,0.0008118988160479112,0.000938820629198478
0.04,0.5235987755982988,0.0009247473548033651,0.0009237604307034014,0.0010683766777197512
0.0425,0.5235987755982988,0.0010440969488155108,0.001042838923723762,0.0012063465058023137
0.045,0.5235987755982988,0.0011707158304594492,0.0011691342951089922,0.0013527405338062959
0.0475,0.5235987755982988,0.001304610375487932,0.0013026465448590931,0.0015075698289679362
0.05,0.5235987755982988,0.001445787331597047,0.0014433756729740647,0.0016708461062067137
0.0525,0.5235987755982988,0.0015942538197105279,0.0015913216794539058,0.001842581732204085
0.055,0.5235987755982988,0.0017500173353337423,0.001746484564298618,0.002022789727055496
0.0575,0.5235987755982988,0.0019130857499852526,0.0019088643275082004,0.0022114837687614575
0.06,0.5235987755982988,0.002083467312698233,0.002078460969082653,0.002408678195092495
0.0625,0.5235987755982988,0.0022611706516006205,0.002255274489021976,0.00261438800791014
0.065,0.5235987755982988,0.0024462047755677264,0.0024393048873261694,0.00282862887595825
0.0675,0.5235987755982988,0.0026385790759535146,0.0026305521639952327,0.00305141713901258
0.07,0.5235987755982988,0.0028383033283973244,0.002829016319029167,0.0032827698114319404
0.0725,0.5235987755982988,0.0030453876947104173,0.0030346973524279703,0.0035227045866350615
0.075,0.5235987755982988,0.0032598427248376124,0.003247595264191645,0.003771239840447249
0.0775,0.5235987755982988,0.003481679358902614,0.00346771005432019,0.004028394636114596
0.08,0.5235987755982988,0.003710908929331652,0.0036950417228136054,0.004294188728663384
0.0825,0.5235987755982988,0.00394754316305853,0.003929590269671891,0.004568642569480419
0.085,0.5235987755982988,0.004191594183813407,0.004171355694895048,0.004851777311421168
0.08750000000000001,0.5235987755982988,0.004443074514492077,0.004420337998483073,0.005143614813348352
0.09,0.5235987755982988,0.004701997079614512,0.004676537180435969,0.005444177646027004
0.0925,0.5235987755982988,0.004968375207863381,0.004939953240753736,0.005753489096854025
0.095,0.5235987755982988,0.005242222634715149,0.005210586179436373,0.006071573176090972
0.0975,0.5235987755982988,0.005523553505154175,0.0054884359964838805,0.0063984546221897975
0.1,0.5235987755982988,0.005812382376479603,0.005773502691896259,0.006734158908060506
0.10250000000000001,0.5235987755982988,0.006108724221199525,0.006065786265673507,0.007078712246919361
0.105,0.5235987755982988,0.006412594430020625,0.006365286717815623,0.007432141598993969
0.1075,0.5235987755982988,0.006724008814928345,0.006672004048322612,0.007794474677935481
0.11,0.5235987755982988,0.007042983612362417,0.006985938257194472,0.008165739957577856
0.1125,0.5235987755982988,0.007369535486488792,0.0073070893444312016,0.008545966678946026
0.115,0.5235987755982988,0.007703681532570283,0.0076354573100328015,0.008935184857603362
0.11750000000000001,0.5235987755982988,0.008045439280432158,0.007971042153999273,0.009333425290638964
0.12,0.5235987755982988,0.008394826698035773,0.008313843876330612,0.009740719564835354
0.1225,0.5235987755982988,0.008751862195147588,0.008663862477026822,0.01015710006410031
0.125,0.5235987755982988,0.00911656462711685,0.009021097956087904,0.010582599977702278
0.1275,0.5235987755982988,0.009488953298759152,0.009385550313513855,0.011017253308675201
0.13,0.5235987755982988,0.009869047968345084,0.009757219549304677,0.011461094882135203
0.1325,0.5235987755982988,0.01025686885170236,0.01013610566346037,0.01191416035424031
0.135,0.5235987755982988,0.010652436626427326,0.010522208655980931,0.012376486221110206
0.1375,0.5235987755982988,0.011055772436211996,0.010915528526866364,0.012848109828163645
0.14,0.5235987755982988,0.011466897895286094,0.011316065276116668,0.013329069379598657
0.14250000000000002,0.5235987755982988,0.011885835092977472,0.011723818903731842,0.013819403948150288
0.145,0.5235987755982988,0.012312606598394745,0.012138789409711881,0.014319153485256031
0.1475,0.5235987755982988,0.012747235465229517,0.012560976794056796,0.014828358831205701
0.15,0.5235987755982988,0.01318974523668675,0.01299038105676658,0.015347061725823785
0.0,0.0,2.7755575615628914e-16,0.0,0.0
0.0025,0.0,3.6084391824564577e-06,3.6084391824351616e-06,5.901723554302407e-12
0.005,0.0,1.443375672982583e-05,1.4433756729740646e-05,5.901723554302407e-12
0.0075,0.0,3.2475952641886074e-05,3.247595264191645e-05,-9.353628982466944e-13
0.01,0.0,5.773502691908128e-05,5.7735026918962585e-05,2.055910997000865e-12
0.0125,0.0,9.021097956107837e-05,9.021097956087904e-05,2.2095658636089865e-12
0.015,0.0,0.00012990381056776634,0.0001299038105676658,7.738254481637341e-13
0.0175,0.0,0.00017681351993936723,0.00017681351993932294,2.504663143554353e-13
0.02,0.0,0.00023094010767577,0.00023094010767585034,-3.4783287361506154e-13
0.0225,0.0,0.00029228357377741876,0.00029228357377724805,5.839773109528323e-13
0.025,0.0,0.0003608439182437584,0.0003608439182435162,6.712408406883696e-13
0.0275,0.0,0.0004366211410747889,0.0004366211410746545,3.077538224260934e-13
0.03,0.0,0.0005196152422708433,0.0005196152422706632,3.4661162828797387e-13
0.0325,0.0,0.0006098262218316997,0.0006098262218315423,2.580158309228864e-13
0.035,0.0,0.0007072540797573579,0.0007072540797572917,9.348077867343818e-14
0.0375,0.0,0.00081189881604804,0.0008118988160479112,1.5853984791647235e-13
0.04,0.0,0.0009237604307035241,0.0009237604307034014,1.3278267374516872e-13
0.0425,0.0,0.001042838923723921,0.001042838923723762,1.525446435834965e-13
0.045,0.0,0.00116913429510912,0.0011691342951089922,1.092459456231154e-13
0.0475,0.0,0.0013026465448590097,0.0013026465448590931,-6.405986852087153e-14
0.05,0.0,0.0014433756729740344,0.0014433756729740647,-2.098321516541546e-14
0.0525,0.0,0.001591321679454083,0.0015913216794539058,1.1124434706744069e-13
0.055,0.0,0.0017464845642988225,0.001746484564298618,1.170175067954915e-13
0.0575,0.0,0.0019088643275083639,0.0019088643275082004,8.570921750106208e-14
0.06,0.0,0.002078460969082707,0.002078460969082653,2.5979218776228663e-14
0.0625,0.0,0.0022552744890220744,0.002255274489021976,4.374278717023117e-14
0.065,0.0,0.0024393048873264656,0.0024393048873261694,1.2145839889399213e-13
0.0675,0.0,0.0026305521639953255,0.0026305521639952327,3.530509218307998e-14
0.07,0.0,0.0028290163190290984,0.002829016319029167,-2.4202861936828413e-14
0.0725,0.0,0.0030346973524280063,0.0030346973524279703,1.176836406102666e-14
0.075,0.0,0.003247595264191716,0.003247595264191645,2.19824158875781e-14
0.0775,0.0,0.0034677100543204498,0.00346771005432019,7.482903185973555e-14
0.08,0.0,0.0036950417228136523,0.0036950417228136054,1.2656542480726785e-14
0.0825,0.0,0.003929590269672101,0.003929590269671891,5.3512749786932545e-14
0.085,0.0,0.004171355694895129,0.004171355694895048,1.9539925233402755e-14
0.08750000000000001,0.0,0.0044203379984832925,0.004420337998483073,4.973799150320701e-14
0.09,0.0,0.004676537180436147,0.004676537180435969,3.7969627442180354e-14
0.0925,0.0,0.004939953240753803,0.004939953240753736,1.354472090042691e-14
0.095,0.0,0.005210586179436594,0.005210586179436373,4.241051954068098e-14
0.0975,0.0,0.005488435996484076,0.0054884359964838805,3.552713678800501e-14
0.1,0.0,0.0057735026918964705,0.005773502691896259,3.6637359812630166e-14
0.10250000000000001,0.0,0.006065786265673556,0.006065786265673507,8.215650382226158e-15
0.105,0.0,0.006365286717815777,0.006365286717815623,2.4202861936828413e-14
0.1075,0.0,0.006672004048322688,0.006672004048322612,1.1546319456101628e-14
0.11,0.0,0.006985938257194513,0.006985938257194472,5.773159728050814e-15
0.1125,0.0,0.007307089344431139,0.0073070893444312016,-8.548717289613705e-15
0.115,0.0,0.0076354573100329,0.0076354573100328015,1.2878587085651816e-14
0.11750000000000001,0.0,0.007971042153999464,0.007971042153999273,2.398081733190338e-14
0.12,0.0,0.008313843876330607,0.008313843876330612,-6.661338147750939e-16
0.1225,0.0,0.008663862477026885,0.008663862477026822,7.105427357601002e-15
0.125,0.0,0.009021097956087964,0.009021097956087904,6.661338147750939e-15
0.1275,0.0,0.009385550313513846,0.009385550313513855,-8.881784197001252e-16
0.13,0.0,0.009757219549304974,0.009757219549304677,3.042011087472929e-14
0.1325,0.0,0.01013610566346046,0.01013610566346037,8.881784197001252e-15
0.135,0.0,0.010522208655980969,0.010522208655980931,3.552713678800501e-15
0.1375,0.0,0.010915528526866725,0.010915528526866364,3.3084646133829665e-14
0.14,0.0,0.011316065276116505,0.011316065276116668,-1.4432899320127035e-14
0.14250000000000002,0.0,0.011723818903731864,0.011723818903731842,1.9984014443252818e-15
0.145,0.0,0.012138789409711803,0.012138789409711881,-6.439293542825908e-15
0.1475,0.0,0.012560976794056877,0.012560976794056796,6.439293542825908e-15
0.15,0.0,0.012990381056766753,0.01299038105676658,1.3322676295501878e-14
