epsilon,psi_rad,delta,leading,ratio,area
0.0,0.0,2.220446049250313e-16,0.0,,0.8660254037844387
0.0,0.5235987755982988,2.220446049250313e-16,0.0,,0.8660254037844387
0.0001,0.0,5.773502786965423e-09,5.773502691896258e-09,1.0000000164664624,0.8660254008976873
0.0001,0.5235987755982988,5.773502706312257e-09,5.773502691896258e-09,1.0000000024969242,0.8660254008976872
0.00011296264540672511,0.0,7.367312093720102e-09,7.367312322203963e-09,0.9999999689868094,0.8660254001007824
0.00011296264540672511,0.5235987755982988,7.3673122175810375e-09,7.367312322203963e-09,0.9999999857990376,0.8660254001007825
0.00012760559257285527,0.0,9.40110234104452e-09,9.401102545441361e-09,0.9999999782582054,0.8660253990838874
0.00012760559257285527,0.5235987755982988,9.40110252199669e-09,9.401102545441361e-09,0.9999999975061786,0.8660253990838873
0.00014414665305722483,0.0,1.199633237192188e-08,1.1996332611492213e-08,0.9999999800297025,0.8660253977862724
0.00014414665305722483,0.5235987755982988,1.1996332586491595e-08,1.1996332611492213e-08,0.9999999979159783,0.8660253977862724
0.00016283187255869533,0.0,1.5307991541035904e-08,1.5307991315905336e-08,1.0000000147067347,0.866025396130443
0.00016283187255869533,0.5235987755982988,1.5307991670975714e-08,1.5307991315905336e-08,1.0000000231950992,0.8660253961304429
0.00018393919080760953,0.0,1.9533852868569568e-08,1.9533853029662208e-08,0.9999999917531559,0.866025394017512
0.00018393919080760953,0.5235987755982988,1.9533853379815557e-08,1.9533853029662208e-08,1.0000000179254624,0.8660253940175122
0.0002077825758759997,0.0,2.4926288588744683e-08,2.492628891081113e-08,0.999999987079246,0.8660253913212942
0.0002077825758759997,0.5235987755982988,2.4926289610362827e-08,2.492628891081113e-08,1.0000000280648154,0.8660253913212942
0.00023471669440376506,0.0,3.1807338762845916e-08,3.180733867106242e-08,1.0000000028856075,0.8660253878807693
0.00023471669440376506,0.5235987755982988,3.1807339651754207e-08,3.180733867106242e-08,1.000000030832249,0.8660253878807691
0.000265142187209712,0.0,4.058794311756486e-08,4.058794299286418e-08,1.0000000030723577,0.8660253834904672
0.000265142187209712,0.5235987755982988,4.058794488523372e-08,4.058794299286418e-08,1.000000046623933,0.8660253834904672
0.0002995116287613422,0.0,5.179248507847234e-08,5.1792485169176975e-08,0.9999999982486912,0.8660253778881958
0.0002995116287613422,0.5235987755982988,5.179248806397317e-08,5.1792485169176975e-08,1.0000000558922049,0.8660253778881959
0.0003383362591495822,0.0,6.609010727576248e-08,6.609010760833652e-08,0.9999999949678696,0.8660253707393849
0.0003383362591495822,0.5235987755982988,6.609011255414685e-08,6.609010760833652e-08,1.0000000748343514,0.8660253707393849
0.0003821935887055211,0.0,8.433467335589029e-08,8.433467344565543e-08,0.9999999989356082,0.866025361617102
0.0003821935887055211,0.5235987755982988,8.433468155250028e-08,8.433467344565543e-08,1.0000000961270676,0.8660253616171021
0.0004317359883766556,0.0,1.0761575952589197e-07,1.0761575979471113e-07,0.9999999975020466,0.8660253499765588
0.0004317359883766556,0.5235987755982988,1.0761577324027054e-07,1.0761575979471113e-07,1.0000001249404311,0.8660253499765587
0.00048770039364314145,0.0,1.3732372805552728e-07,1.3732372798782156e-07,1.0000000004930374,0.8660253351225746
0.00048770039364314145,0.5235987755982988,1.3732374954503021e-07,1.3732372798782156e-07,1.0000001569809456,0.8660253351225747
0.0005509192663183044,0.0,1.7523275663844373e-07,1.752327568419954e-07,0.9999999988383925,0.8660253161680604
0.0005509192663183044,0.5235987755982988,1.7523279216347527e-07,1.752327568419954e-07,1.0000002015689333,0.8660253161680602
0.0006223329772884784,0.0,2.2360679785560222e-07,2.2360679774997902e-07,1.0000000004723613,0.8660252919810396
0.0006223329772884784,0.5235987755982988,2.2360685547296372e-07,2.2360679774997902e-07,1.0000002581450353,0.8660252919810398
0.0007030037943834996,0.0,2.8533477935965834e-07,2.85334779302047e-07,1.0000000002019078,0.8660252611170491
0.0007030037943834996,0.5235987755982988,2.8533487303857803e-07,2.85334779302047e-07,1.000000328514215,0.8660252611170491
0.0007941316834452556,0.0,3.6410313564161356e-07,3.6410313594482547e-07,0.9999999991672363,0.8660252217328707
0.0007941316834452556,0.5235987755982988,3.641032889030852e-07,3.6410313594482547e-07,1.0000004200959691,0.8660252217328706
0.0008970721576327207,0.0,4.646159639243308e-07,4.6461596419874274e-07,0.999999999409379,0.8660251714764565
0.0008970721576327207,0.5235987755982988,4.646162132704199e-07,4.6461596419874274e-07,1.0000005360807556,0.8660251714764565
0.0010133564404691095,0.0,5.92875954441574e-07,5.928759543038914e-07,1.0000000002322285,0.8660251073464615
0.0010133564404691095,0.5235987755982988,5.928763603735413e-07,5.928759543038914e-07,1.0000006849150265,0.8660251073464615
0.0011447142425533327,0.0,7.56542874569277e-07,7.56542874711452e-07,0.9999999998120729,0.8660250255130013
0.0011447142425533327,0.5235987755982988,7.565435354942913e-07,7.56542874711452e-07,1.0000008734241792,0.8660250255130014
