s,cells,seed_squeeze_gap,seed_squeeze_normalized,maximum_seed_cell_gap,physical_gap,physical_normalized,exact_normalized,tensor_mapping_error
-0.4,49,2.779792999023858e-17,1.3898964995119293e-17,4.371304900854252e-15,1.776211964375244,0.6640367702678487,0.664036770267849,2.8421709430404007e-13
-0.38,49,3.3632136538483683e-16,1.6816068269241842e-16,6.0116295811067406e-15,1.6706097934869082,0.6410769611853461,0.6410769611853464,1.1368683772161603e-13
-0.36000000000000004,49,1.6827027886313394e-16,8.413513943156697e-17,2.3557928023801794e-15,1.5676809546839172,0.616909302877065,0.616909302877065,1.7053025658242404e-13
-0.34,49,1.6756725077991715e-16,8.378362538995858e-17,3.66205343881779e-15,1.4672607398648574,0.5915193954318164,0.5915193954318164,1.1368683772161603e-13
-0.32,49,3.282824843983369e-17,1.6414124219916844e-17,3.0626865985836017e-15,1.3691884552619022,0.5648995528462251,0.564899552846225,1.7053025658242404e-13
-0.30000000000000004,49,1.7148933277807958e-16,8.574466638903979e-17,3.873071539597907e-15,1.2733071642964804,0.537049566998035,0.5370495669980353,3.979039320256561e-13
-0.28,49,6.8601579486439845e-18,3.4300789743219922e-18,2.6852712547870858e-15,1.179463436447288,0.5079774328978964,0.5079774328978962,3.410605131648481e-13
-0.26,49,1.0819675902485618e-17,5.409837951242809e-18,2.6645352591003757e-15,1.0875071017286913,0.47770001216849767,0.477700012168498,1.1368683772161603e-13
-0.24000000000000002,49,6.540689409467903e-19,3.2703447047339515e-19,1.9389211565826713e-15,0.9972910103867534,0.44624361024877995,0.4462436102487797,1.7053025658242404e-13
-0.22000000000000003,49,2.418579661893901e-19,1.2092898309469505e-19,2.0927098540973503e-15,0.9086707974281925,0.41364444218713436,0.4136444421871352,2.8421709430404007e-13
-0.2,49,1.6874471638622994e-16,8.437235819311498e-17,1.790180836524724e-15,0.8215046516056319,0.3799489622552253,0.3799489622552249,9.947598300641403e-14
-0.18000000000000002,49,6.540689409467903e-19,3.2703447047339515e-19,1.047382306668854e-15,0.7356530884893105,0.3452140341355215,0.34521403413552093,1.4210854715202004e-13
-0.16000000000000003,49,1.5753742013872698e-18,7.876871006936349e-19,2.220446049250313e-15,0.6509787272622654,0.30950692121263845,0.3095069212126385,2.5579538487363607e-13
-0.14,49,1.6776836460550164e-16,8.388418230275083e-17,3.552713678800501e-15,0.567346070881711,0.27290508056313245,0.27290508056313273,5.684341886080802e-14
-0.12,49,1.6776836460550167e-16,8.388418230275083e-17,1.5100665727558131e-15,0.4846212892548505,0.2354957495384975,0.23549574953849794,1.1368683772161603e-13
-0.10000000000000003,49,1.6746111061174781e-16,8.373055530587392e-17,2.5918417478740246e-15,0.40267200508218653,0.19737532022490342,0.19737532022490406,2.5579538487363607e-13
-0.08000000000000002,49,1.6840767614512019e-16,8.420383807256009e-17,2.6645352591003757e-15,0.3213670820256008,0.1586485042974999,0.15864850429749894,1.9895196601282805e-13
-0.06,49,3.349605762914787e-16,1.6748028814573936e-16,3.76985705904379e-15,0.2405764148622179,0.11942729853438569,0.11942729853438588,1.1368683772161603e-13
-0.040000000000000036,49,3.349650460575471e-16,1.6748252302877354e-16,3.339908118180928e-15,0.16017072128832166,0.07982976911113081,0.07982976911113143,1.1368683772161603e-13
-0.020000000000000018,49,1.5697654582722966e-17,7.848827291361483e-18,2.886579864025407e-15,0.08002133504006399,0.03997868031116305,0.039978680311163604,8.526512829121202e-14
0.0,49,1.6744164888237832e-16,8.372082444118916e-17,1.3322676295501878e-15,0.0,0.0,0.0,2.842170943040401e-14
0.019999999999999962,49,1.7234469927633803e-16,8.617234963816901e-17,2.9790409838967277e-15,0.08002133504006433,0.039978680311163216,0.03997868031116349,8.526512829121202e-14
0.03999999999999998,49,5.515533551837226e-17,2.757766775918613e-17,4.036106774893513e-15,0.16017072128832163,0.07982976911113081,0.07982976911113132,1.4210854715202004e-13
0.06,49,9.480528089340906e-18,4.740264044670453e-18,1.4043333874306805e-15,0.24057641486221942,0.1194272985343865,0.11942729853438588,1.1368683772161603e-13
0.07999999999999996,49,2.6162757637871612e-18,1.3081378818935806e-18,3.614624287906422e-15,0.32136708202560066,0.15864850429749983,0.15864850429749883,1.9895196601282805e-13
0.09999999999999998,49,1.6773493630486923e-16,8.38674681524346e-17,4.021398830883446e-15,0.40267200508218637,0.19737532022490337,0.19737532022490395,2.2737367544323206e-13
0.12,49,1.6851994895475443e-16,8.425997447737723e-17,4.100078654099147e-15,0.4846212892548505,0.2354957495384975,0.23549574953849794,1.4210854715202004e-13
0.14,49,5.2325515275743225e-18,2.616275763787161e-18,2.6645352591003757e-15,0.5673460708817112,0.27290508056313256,0.27290508056313273,5.684341886080802e-14
0.16000000000000003,49,5.178832549879479e-18,2.5894162749397393e-18,1.9860273225978185e-15,0.6509787272622656,0.30950692121263845,0.3095069212126385,2.5579538487363607e-13
0.17999999999999994,49,3.132250771120765e-18,1.5661253855603822e-18,1.9860273225978185e-15,0.7356530884893104,0.34521403413552143,0.34521403413552076,1.1368683772161603e-13
0.19999999999999996,49,1.7080171471759558e-16,8.54008573587978e-17,8.881784197001252e-15,0.8215046516056322,0.3799489622552254,0.3799489622552248,1.1368683772161603e-13
0.21999999999999997,49,2.6162757637871612e-18,1.3081378818935806e-18,3.9968028886505635e-15,0.908670797428193,0.4136444421871347,0.4136444421871351,2.8421709430404007e-13
0.24,49,4.9333138755944086e-17,2.4666569377972043e-17,3.9283700765566935e-15,0.9972910103867536,0.44624361024877995,0.4462436102487796,1.1368683772161603e-13
0.26,49,5.969243817590858e-18,2.984621908795429e-18,8.440616121040728e-15,1.0875071017286917,0.4777000121684979,0.477700012168498,1.1368683772161603e-13
0.28,49,1.7056903078910284e-16,8.528451539455142e-17,5.333694441429199e-15,1.179463436447288,0.5079774328978964,0.5079774328978962,2.8421709430404007e-13
0.30000000000000004,49,1.6769184771966067e-16,8.384592385983033e-17,4.440892098500626e-15,1.2733071642964815,0.5370495669980354,0.5370495669980353,3.979039320256561e-13
0.31999999999999995,49,1.6756934802761746e-16,8.378467401380873e-17,3.116544544127953e-15,1.369188455261903,0.5648995528462252,0.564899552846225,1.1368683772161603e-13
0.33999999999999997,49,3.348862158761286e-16,1.674431079380643e-16,4.577566798522238e-15,1.4672607398648574,0.5915193954318165,0.5915193954318164,1.1368683772161603e-13
0.36,49,3.3618380036804427e-16,1.6809190018402206e-16,5.329070518200751e-15,1.5676809546839172,0.616909302877065,0.616909302877065,2.2737367544323206e-13
0.38,49,2.6162757637871612e-18,1.3081378818935806e-18,3.9968028886505635e-15,1.6706097934869089,0.6410769611853465,0.6410769611853464,2.2737367544323206e-13
0.4,49,3.2703447047339517e-17,1.6351723523669758e-17,4.440892098500626e-15,1.776211964375245,0.6640367702678489,0.664036770267849,2.8421709430404007e-13
